x	fresnel_s(x)	FresnelS(x) (Waterloo Maple 9)	Absolute Error	Relative Error
0	0.000000000000000	0.000000000000000	0.000E+00	0
0.1	0.000523589547612	0.000523589547612	0.000E+00	0
0.2	0.004187609161657	0.004187609161657	0.000E+00	0
0.3	0.014116998006577	0.014116998006577	0.000E+00	0
0.4	0.033359432660613	0.033359432660613	0.000E+00	0
0.5	0.064732432859999	0.064732432859999	0.000E+00	0
0.6	0.110540207359387	0.110540207359387	0.000E+00	0
0.7	0.172136457863477	0.172136457863477	0.000E+00	0
0.8	0.249341393053918	0.249341393053918	0.000E+00	0
0.9	0.339776344393140	0.339776344393140	0.000E+00	0
1	0.438259147390355	0.438259147390355	0.000E+00	0
1.1	0.536497911096820	0.536497911096820	0.000E+00	0
1.2	0.623400918546250	0.623400918546250	0.000E+00	0
1.3	0.686333285534650	0.686333285534650	0.000E+00	0
1.4	0.713525077363412	0.713525077363412	0.000E+00	0
1.5	0.697504960082093	0.697504960082093	0.000E+00	0
1.6	0.638887683509381	0.638887683509381	0.000E+00	0
1.7	0.549195940321568	0.549195940321569	-9.992E-16	1.81939E-15
1.8	0.450938769267582	0.450938769267583	-9.992E-16	2.21582E-15
1.9	0.373347317816981	0.373347317816981	0.000E+00	0
2	0.343415678363698	0.343415678363698	0.000E+00	0
2.1	0.374273359378104	0.374273359378104	0.000E+00	0
2.2	0.455704612124658	0.455704612124657	9.992E-16	2.19265E-15
2.3	0.553151641560703	0.553151641560702	9.992E-16	1.80638E-15
2.4	0.619689964945684	0.619689964945684	0.000E+00	0
2.5	0.619181755819593	0.619181755819593	0.000E+00	0
2.6	0.549989323152719	0.549989323152719	0.000E+00	0
2.7	0.452917487616718	0.452917487616719	-9.992E-16	2.20614E-15
2.8	0.391528443543172	0.391528443543172	0.000E+00	0
2.9	0.410140587056714	0.410140587056714	0.000E+00	0
3	0.496312998967376	0.496312998967375	9.992E-16	2.01325E-15
3.1	0.581815868085875	0.581815868085874	9.992E-16	1.71738E-15
3.2	0.593349464618603	0.593349464618603	0.000E+00	0
3.3	0.519286084982061	0.519286084982063	-1.998E-15	3.84836E-15
3.4	0.429649464443926	0.429649464443927	-9.992E-16	2.32562E-15
3.5	0.415248011972438	0.415248011972438	0.000E+00	0
3.6	0.492309489111003	0.492309489111002	9.992E-16	2.02962E-15
3.7	0.574980349887474	0.574980349887473	9.992E-16	1.7378E-15
3.8	0.565618739795131	0.565618739795133	-1.998E-15	3.53312E-15
3.9	0.475202402350687	0.475202402350689	-1.998E-15	4.20537E-15
4	0.420515754246928	0.420515754246928	0.000E+00	0
4.1	0.475798257032830	0.475798257032828	1.998E-15	4.2001E-15
4.2	0.563198888396612	0.563198888396611	9.992E-16	1.77415E-15
4.3	0.553995887666577	0.553995887666578	-9.992E-16	1.80362E-15
4.4	0.462268016411045	0.462268016411045	0.000E+00	0
4.5	0.434272975048703	0.434272975048704	-9.992E-16	2.30086E-15
4.6	0.516192336949054	0.516192336949055	-9.992E-16	1.93571E-15
4.7	0.567145469012263	0.567145469012263	0.000E+00	0
4.8	0.496750218958948	0.496750218958947	9.992E-16	2.01148E-15
4.9	0.435067361787494	0.435067361787494	0.000E+00	0
5	0.499191381917115	0.499191381917117	-1.998E-15	4.00328E-15
5.1	0.562390079733006	0.562390079733006	0.000E+00	0
5.2	0.496875655860107	0.496875655860104	2.998E-15	6.0329E-15
5.3	0.440467788604097	0.440467788604098	-9.992E-16	2.2685E-15
5.4	0.514031988701911	0.514031988701915	-3.997E-15	7.7754E-15
5.5	0.553684062779023	0.553684062779022	9.992E-16	1.80464E-15
5.6	0.470038806514864	0.470038806514861	2.998E-15	6.37735E-15
5.7	0.459528382647674	0.459528382647677	-2.998E-15	6.52321E-15
5.8	0.546047283789530	0.546047283789533	-2.998E-15	5.48964E-15
5.9	0.516330691504159	0.516330691504154	4.996E-15	9.67598E-15
6	0.446960761236930	0.446960761236930	0.000E+00	0
6.1	0.516477082795099	0.516477082795104	-4.996E-15	9.67323E-15
6.2	0.539820978816945	0.539820978816941	3.997E-15	7.40394E-15
6.3	0.455545430504401	0.455545430504398	2.998E-15	6.58025E-15
6.4	0.496492221545936	0.496492221545942	-6.051E-15	1.21869E-14
6.5	0.545376455243236	0.545376455243234	1.998E-15	3.66426E-15
6.6	0.463069501140460	0.463069501140455	5.052E-15	1.09088E-14
6.7	0.491501446345078	0.491501446345086	-8.049E-15	1.63766E-14
6.8	0.543635456823509	0.543635456823506	2.998E-15	5.51399E-15
6.9	0.462439507778601	0.462439507778596	4.996E-15	1.08036E-14
7	0.499704789453438	0.499704789453447	-8.993E-15	1.79962E-14
7.1	0.536017354510785	0.536017354510779	5.995E-15	1.11847E-14
7.2	0.457251530582882	0.457251530582880	1.998E-15	4.37046E-15
7.3	0.518947327858136	0.518947327858144	-7.994E-15	1.54035E-14
