Example,Km/My,E /KJ/m,A /s *10^-12
Akita,0.2,28.8,18.0
5.-146 My,0.3,29.2,21.0
m=.95,1.0,29.7,25.0
n=1.,4.0,29.8,27.0
,10.0,29.9,27.0
Macran1,0.2,16.6,1.2
2.6-66 My,0.3,17.5,1.7
m=.85,1.0,19.2,3.4
n=1.,4.0,19.8,4.4
,10.0,19.9,4.7
Makran2,0.2,12.2,0.4
2.6-66 My,0.3,13.2,0.61
m=.85,1.0,14.8,1.2
n=.95,4.0,15.5,1.6
,10.0,15.6,1.7
"""SuluSea""",0.2,11.9,0.49
0.-23 My,0.3,13.4,0.96
m=.9,1.0,16.9,4.0
n=.8,4.0,18.6,8.0
,10.0,19.0,9.3
Oklahoma,0.2,32.8,69.0
254-323 My,0.3,32.9,71.0
m=.85,1.0,33.1,75.0
n=1.,4.0,33.1,76.0
,10.0,33.1,77.0
Maracaibo,0.2,19.8,3.7
2.6-66 My,0.3,20.4,4.8
m=.9,1.0,21.4,7.2
n=.9,4.0,21.7,8.3
,10.0,21.8,8.5
