

CORDIC Algorithm


cordic<16>
K = 1.64676
                     1     0.785398163367063       6433.1963558197
                   0.5     0.463647608994506      3797.73756504059
                  0.25     0.244978663104121      2006.62022972107
                 0.125     0.124354994535679      1018.59176015854
                0.0625    0.0624188099900493       511.27247262001
               0.03125     0.031239833428117      255.885475635529
              0.015625    0.0156237286209944      127.973961144686
             0.0078125    0.0078123410603439        63.99088563025
            0.00390625   0.00390623013208824      31.9959310144186
           0.001953125   0.00195312251662472       15.998026534915
          0.0009765625  0.000976562189634933      7.99902089498937
         0.00048828125  0.000488281211232788        3.999511401169
        0.000244140625  0.000244140620168309      1.99975581979379
       0.0001220703125  0.000122070311903144     0.999877924798056
       6.103515625e-05  6.10351561789457e-05     0.499938964261673
      3.0517578125e-05  3.05175781178946e-05     0.249969482363667
K' = 0.828159361088763

cordic<32>
K = 1.64676025812107
                     1     0.785398163397448      421657427.480915
                   0.5     0.463647609000806      248918914.227235
                  0.25     0.244978663126864      131521918.048482
                 0.125     0.124354994546761      66762579.2097198
                0.0625    0.0624188099959573      33510843.3860655
               0.03125    0.0312398334302683      16771757.8331964
              0.015625    0.0156237286204768      8387925.41769217
             0.0078125   0.00781234106010111      4194218.66197919
            0.00390625   0.00390623013196697      2097141.32952476
           0.001953125   0.00195312251647882       1048574.6647166
          0.0009765625  0.000976562189559319      524287.832356867
         0.00048828125  0.000488281211194898      262143.978678388
        0.000244140625  0.000244140620149362      131071.997151693
       0.0001220703125   0.00012207031189367      65535.9995524089
       6.103515625e-05  6.10351561742088e-05      32767.9998982747
      3.0517578125e-05  3.05175781155261e-05      16383.9999643962
     1.52587890625e-05  1.52587890613158e-05      8191.99998410543
     7.62939453125e-06  7.62939453110197e-06      4095.99999229113
    3.814697265625e-06   3.8146972656065e-06      2047.99999617537
   1.9073486328125e-06  1.90734863281019e-06      1023.99999809141
   9.5367431640625e-07  9.53674316405961e-07       511.99999904617
  4.76837158203125e-07  4.76837158203089e-07      255.999999523143
  2.38418579101562e-07  2.38418579101558e-07      127.999999761579
  1.19209289550781e-07  1.19209289550781e-07      63.9999998807904
  5.96046447753906e-08  5.96046447753906e-08      31.9999999403953
  2.98023223876953e-08  2.98023223876953e-08      15.9999999701977
  1.49011611938477e-08  1.49011611938477e-08      7.99999998509884
  7.45058059692383e-09  7.45058059692383e-09      3.99999999254942
  3.72529029846191e-09  3.72529029846191e-09      1.99999999627471
  1.86264514923096e-09  1.86264514923096e-09     0.999999998137355
  9.31322574615479e-10  9.31322574615479e-10     0.499999999068677
  4.65661287307739e-10  4.65661287307739e-10     0.249999999534339
K' = 0.828159360960216

cordic<64>
K = 1.64676025812107
                     1     0.785398163397448  1.81100486451928e+18
                   0.5     0.463647609000806  1.06909859795315e+18
                  0.25     0.244978663126864  5.64882337777596e+17
                 0.125     0.124354994546761  2.86743094836457e+17
                0.0625    0.0624188099959573  1.43927976672616e+17
               0.03125    0.0312398334302683  7.20341515241844e+16
              0.015625    0.0156237286204768  3.60258654173784e+16
             0.0078125   0.00781234106010111  1.80140320190272e+16
            0.00390625   0.00390623013196697  9.00715344217593e+15
           0.001953125   0.00195312251647882  4.50359390076054e+15
          0.0009765625  0.000976562189559319  2.25179909785777e+15
         0.00048828125  0.000488281211194898  1.12589981736415e+15
        0.000244140625  0.000244140620149362       562949942236502
       0.0001220703125   0.00012207031189367       281474975312555
       6.103515625e-05  6.10351561742088e-05       140737488180565
      3.0517578125e-05  3.05175781155261e-05      70368744155818.7
     1.52587890625e-05  1.52587890613158e-05      35184372086101.3
     7.62939453125e-06  7.62939453110197e-06      17592186044074.7
    3.814697265625e-06   3.8146972656065e-06      8796093022165.33
   1.9073486328125e-06  1.90734863281019e-06      4398046511098.67
   9.5367431640625e-07  9.53674316405961e-07      2199023255551.33
  4.76837158203125e-07  4.76837158203089e-07      1099511627775.92
  2.38418579101562e-07  2.38418579101558e-07       549755813887.99
  1.19209289550781e-07  1.19209289550781e-07      274877906943.999
  5.96046447753906e-08  5.96046447753906e-08          137438953472
  2.98023223876953e-08  2.98023223876953e-08           68719476736
