                      n                     f1                     f2                  delta                   frac
                      0       1.00000000000000       1.00000000000000       0.00000000000000       0.00000000000000
                      1       1.00000000000000       1.00000000000000       0.00000000000000       0.00000000000000
                      2       2.00000000000000       2.00000000000000       0.00000000000000       0.00000000000000
                      3       3.00000000000000       3.00000000000000       0.00000000000000       0.00000000000000
                      4       8.00000000000000       8.00000000000000       0.00000000000000       0.00000000000000
                      5       15.0000000000000       15.0000000000000       0.00000000000000       0.00000000000000
                      6       48.0000000000000       48.0000000000000       0.00000000000000       0.00000000000000
                      7       105.000000000000       105.000000000000       0.00000000000000       0.00000000000000
                      8       384.000000000000       384.000000000000       0.00000000000000       0.00000000000000
                      9       945.000000000000       945.000000000000       0.00000000000000       0.00000000000000
                     10       3840.03000000000       3840.00000000000     0.0300000000002001   7.81250000005211e-06
                     11       10395.0000000000       10395.0000000000       0.00000000000000       0.00000000000000
                     12       46080.0000000000       46080.0000000000       0.00000000000000       0.00000000000000
                     13       135135.000000000       135135.000000000       0.00000000000000       0.00000000000000
                     14       645120.000000000       645120.000000000       0.00000000000000       0.00000000000000
                     15       2027025.00000000       2027025.00000000       0.00000000000000       0.00000000000000
                     16       10321920.0000000       10321920.0000000       0.00000000000000       0.00000000000000
                     17       34459425.0000000       34459425.0000000       0.00000000000000       0.00000000000000
                     18       185794560.000000       185794560.000000       0.00000000000000       0.00000000000000
                     19       654729075.000000       654729075.000000       0.00000000000000       0.00000000000000
                     20       3715891200.00000       3715891200.00000       0.00000000000000       0.00000000000000
                     21       13749310575.0000       13749310575.0000       0.00000000000000       0.00000000000000
                     22       81749606400.0000       81749606400.0000       0.00000000000000       0.00000000000000
                     23       316234143225.000       316234143225.000       0.00000000000000       0.00000000000000
                     24       1961990553600.00       1961990553600.00       0.00000000000000       0.00000000000000
                     25       7905853580625.00       7905853580625.00       0.00000000000000       0.00000000000000
                     26       51011754393600.0       51011754393600.0       0.00000000000000       0.00000000000000
                     27       213458046676875.       213458046676875.       0.00000000000000       0.00000000000000
                     28   1.42832912302080e+15   1.42832912302080e+15       0.00000000000000       0.00000000000000
                     29   6.19028335362938e+15   6.19028335362938e+15       0.00000000000000       0.00000000000000
                     30   4.28498736906240e+16   4.28498736906240e+16       0.00000000000000       0.00000000000000
                     31   1.91898783962511e+17   1.91898783962511e+17       0.00000000000000       0.00000000000000
                     32   1.37119595809997e+18   1.37119595809997e+18       0.00000000000000       0.00000000000000
                     33   6.33265987076285e+18   6.33265987076285e+18       0.00000000000000       0.00000000000000
                     34   4.66206625753989e+19   4.66206625753989e+19       0.00000000000000       0.00000000000000
                     35   2.21643095476700e+20   2.21643095476700e+20       0.00000000000000       0.00000000000000
                     36   1.67834385271436e+21   1.67834385271436e+21       0.00000000000000       0.00000000000000
                     37   8.20079453263789e+21   8.20079453263789e+21       0.00000000000000       0.00000000000000
                     38   6.37770664031457e+22   6.37770664031457e+22       0.00000000000000       0.00000000000000
                     39   3.19830986772878e+23   3.19830986772878e+23       0.00000000000000       0.00000000000000
                     40   2.55108265612583e+24   2.55108265612583e+24       0.00000000000000       0.00000000000000
                     41   1.31130704576880e+25   1.31130704576880e+25       0.00000000000000       0.00000000000000
                     42   1.07145471557285e+26   1.07145471557285e+26       0.00000000000000       0.00000000000000
                     43   5.63862029680584e+26   5.63862029680584e+26       0.00000000000000       0.00000000000000
                     44   4.71440074852053e+27   4.71440074852053e+27       0.00000000000000       0.00000000000000
                     45   2.53737913356263e+28   2.53737913356263e+28       0.00000000000000       0.00000000000000
                     46   2.16862434431944e+29   2.16862434431944e+29       0.00000000000000       0.00000000000000
                     47   1.19256819277443e+30   1.19256819277443e+30       0.00000000000000       0.00000000000000
                     48   1.04093968527333e+31   1.04093968527333e+31       0.00000000000000       0.00000000000000
                     49   5.84358414459473e+31   5.84358414459473e+31       0.00000000000000       0.00000000000000
                     50   5.20469842636667e+32   5.20469842636667e+32       0.00000000000000       0.00000000000000
max(abs(diff)) = 0.0300000000002001
max(abs(frac)) = 7.81250000005211e-06
