                      x                     f1                     f2                  delta                   frac
      -50.0000000000000  -3.78326402955046e-24  -3.78326402955046e-24  -7.34683969263930e-40   1.94193152665379e-16
      -49.0000000000000  -1.04898116423680e-23  -1.04898116423680e-23   2.93873587705572e-39  -2.80151443824430e-16
      -48.0000000000000  -2.90966419040584e-23  -2.90966419040584e-23   5.87747175411144e-39  -2.01998284664308e-16
      -47.0000000000000  -8.07419784272581e-23  -8.07419784272581e-23       0.00000000000000      -0.00000000000000
      -46.0000000000000  -2.24153175974430e-22  -2.24153175974430e-22   9.40395480657830e-38  -4.19532525724777e-16
      -45.0000000000000  -6.22569080946238e-22  -6.22569080946238e-22   1.88079096131566e-37  -3.02101568946704e-16
      -44.0000000000000  -1.72995987428165e-21  -1.72995987428165e-21  -7.52316384526264e-37   4.34875048670512e-16
      -43.0000000000000  -4.80949655695001e-21  -4.80949655695002e-21   3.76158192263132e-36  -7.82115524585542e-16
      -42.0000000000000  -1.33779088100118e-20  -1.33779088100118e-20   6.01853107621011e-36  -4.49885790199583e-16
      -41.0000000000000  -3.72316677645998e-20  -3.72316677645998e-20  -2.40741243048404e-35   6.46603436006441e-16
      -40.0000000000000  -1.03677326145166e-19  -1.03677326145166e-19  -1.20370621524202e-35   1.16101201679973e-16
      -39.0000000000000  -2.88877930152270e-19  -2.88877930152270e-19  -4.81482486096809e-35   1.66673337019209e-16
      -38.0000000000000  -8.05410691429075e-19  -8.05410691429075e-19  -2.88889491658085e-34   3.58685940889978e-16
      -37.0000000000000  -2.24702069758857e-18  -2.24702069758857e-18  -3.85185988877447e-34   1.71420756956452e-16
      -36.0000000000000  -6.27333900976224e-18  -6.27333900976224e-18   1.54074395550979e-33  -2.45601896073552e-16
      -35.0000000000000  -1.75270593899474e-17  -1.75270593899474e-17       0.00000000000000      -0.00000000000000
      -34.0000000000000  -4.90067611839279e-17  -4.90067611839279e-17  -2.46519032881566e-32   5.03030657252277e-16
      -33.0000000000000  -1.37138434844875e-16  -1.37138434844875e-16  -4.93038065763132e-32   3.59518515958591e-16
      -32.0000000000000  -3.84096180122507e-16  -3.84096180122507e-16   9.86076131526265e-32  -2.56726357239939e-16
      -31.0000000000000  -1.07676703861624e-15  -1.07676703861624e-15   1.97215226305253e-31  -1.83154962245776e-16
      -30.0000000000000  -3.02155201068881e-15  -3.02155201068881e-15  -3.94430452610506e-31   1.30539024718158e-16
      -29.0000000000000  -8.48775977835356e-15  -8.48775977835356e-15   6.31088724176809e-30  -7.43528022301341e-16
      -28.0000000000000  -2.38694151193373e-14  -2.38694151193373e-14  -1.26217744835362e-29   5.28784405501034e-16
      -27.0000000000000  -6.72063743526204e-14  -6.72063743526204e-14   1.26217744835362e-29  -1.87806210424504e-16
      -26.0000000000000  -1.89468588567498e-13  -1.89468588567498e-13   1.00974195868290e-28  -5.32933699626509e-16
      -25.0000000000000  -5.34889975534022e-13  -5.34889975534022e-13       0.00000000000000      -0.00000000000000
      -24.0000000000000  -1.51230589399971e-12  -1.51230589399971e-12   2.01948391736579e-28  -1.33536735218608e-16
      -23.0000000000000  -4.28268479566567e-12  -4.28268479566567e-12  -8.07793566946316e-28   1.88618496454339e-16
      -22.0000000000000  -1.21493789562044e-11  -1.21493789562044e-11  -1.61558713389263e-27   1.32976931554810e-16
      -21.0000000000000  -3.45320126714676e-11  -3.45320126714676e-11       0.00000000000000      -0.00000000000000
      -20.0000000000000  -9.83552529064988e-11  -9.83552529064988e-11  -2.58493941422821e-26   2.62816609976650e-16
      -19.0000000000000  -2.80782909706080e-10  -2.80782909706080e-10       0.00000000000000      -0.00000000000000
      -18.0000000000000  -8.03609034482868e-10  -8.03609034482868e-10  -3.10192729707385e-25   3.85999555003757e-16
      -17.0000000000000  -2.30643198982166e-09  -2.30643198982165e-09  -1.65436122510606e-24   7.17281598766751e-16
      -16.0000000000000  -6.64048724944104e-09  -6.64048724944104e-09       0.00000000000000      -0.00000000000000
      -15.0000000000000  -1.91862789214787e-08  -1.91862789214787e-08       0.00000000000000      -0.00000000000000
      -14.0000000000000  -5.56563111114518e-08  -5.56563111114518e-08  -1.98523347012727e-23   3.56695122346832e-16
      -13.0000000000000  -1.62186621880143e-07  -1.62186621880143e-07   7.94093388050907e-23  -4.89617071275919e-16
      -12.0000000000000  -4.75108182467250e-07  -4.75108182467249e-07  -3.17637355220363e-22   6.68557955728869e-16
      -11.0000000000000  -1.40030030424744e-06  -1.40030030424744e-06   2.11758236813575e-22  -1.51223445550403e-16
      -10.0000000000000  -4.15696892968533e-06  -4.15696892968532e-06  -1.69406589450860e-21   4.07524309939175e-16
      -9.00000000000000  -1.24473541780063e-05  -1.24473541780063e-05   5.08219768352580e-21  -4.08295418515988e-16
      -8.00000000000000  -3.76656228439249e-05  -3.76656228439249e-05  -2.03287907341032e-20   5.39717365576023e-16
      -7.00000000000000  -0.000115481731610338  -0.000115481731610338  -9.48676900924816e-20   8.21495216339386e-16
      -6.00000000000000  -0.000360082452162659  -0.000360082452162659       0.00000000000000      -0.00000000000000
      -5.00000000000000   -0.00114829559127533   -0.00114829559127533  -1.51788304147971e-18   1.32185741459994e-15
      -4.00000000000000   -0.00377935240984891   -0.00377935240984891  -6.07153216591882e-18   1.60650066664769e-15
      -3.00000000000000    -0.0130483810941970    -0.0130483810941970   1.04083408558608e-17  -7.97672966532968e-16
      -2.00000000000000    -0.0489005107080611    -0.0489005107080611   6.24500451351651e-17  -1.27708369975920e-15
      -1.00000000000000     -0.219383934395520     -0.219383934395520   4.44089209850063e-16  -2.02425583748274e-15
max(abs(diff)) = 4.44089209850063e-16
max(abs(frac)) = 2.02425583748274e-15
