x	fresnel_c(x)	FresnelC(x) (Waterloo Maple 9)	Absolute Error	Relative Error
0	0.000000000000000	0.000000000000000	0.000E+00	0.000E+00
0.1	0.099997532627085	0.099997532627085	0.000E+00	0.000E+00
0.2	0.199921057594453	0.199921057594453	0.000E+00	0.000E+00
0.3	0.299400976052047	0.299400976052047	0.000E+00	0.000E+00
0.4	0.397480759172359	0.397480759172359	0.000E+00	0.000E+00
0.5	0.492344225871446	0.492344225871446	0.000E+00	0.000E+00
0.6	0.581095446991652	0.581095446991652	0.000E+00	0.000E+00
0.7	0.659652351904510	0.659652351904510	0.000E+00	0.000E+00
0.8	0.722844171896356	0.722844171896356	0.000E+00	0.000E+00
0.9	0.764823021273326	0.764823021273326	0.000E+00	0.000E+00
1	0.779893400376823	0.779893400376823	0.000E+00	0.000E+00
1.1	0.763806666062012	0.763806666062012	0.000E+00	0.000E+00
1.2	0.715437722923073	0.715437722923073	0.000E+00	0.000E+00
1.3	0.638550454727029	0.638550454727029	0.000E+00	0.000E+00
1.4	0.543095783546256	0.543095783546256	0.000E+00	0.000E+00
1.5	0.445261176039822	0.445261176039822	0.000E+00	0.000E+00
1.6	0.365461683440488	0.365461683440488	0.000E+00	0.000E+00
1.7	0.323826876003900	0.323826876003900	0.000E+00	0.000E+00
1.8	0.333632927221557	0.333632927221557	0.000E+00	0.000E+00
1.9	0.394470534891523	0.394470534891523	0.000E+00	0.000E+00
2	0.488253406075341	0.488253406075341	0.000E+00	0.000E+00
2.1	0.581564135060834	0.581564135060834	0.000E+00	0.000E+00
2.2	0.636286044903320	0.636286044903319	9.992E-16	1.570E-15
2.3	0.626561709791952	0.626561709791952	0.000E+00	0.000E+00
2.4	0.554961405856428	0.554961405856428	0.000E+00	0.000E+00
2.5	0.457413009641776	0.457413009641777	-9.992E-16	2.184E-15
2.6	0.388937496191969	0.388937496191969	0.000E+00	0.000E+00
2.7	0.392493969852748	0.392493969852748	0.000E+00	0.000E+00
2.8	0.467491651698907	0.467491651698906	9.992E-16	2.137E-15
2.9	0.562376450225825	0.562376450225824	9.992E-16	1.777E-15
3	0.605720789297686	0.605720789297686	0.000E+00	0.000E+00
3.1	0.561593902511355	0.561593902511356	-9.992E-16	1.779E-15
3.2	0.466320346952036	0.466320346952037	-9.992E-16	2.143E-15
3.3	0.405694403706258	0.405694403706258	0.000E+00	0.000E+00
3.4	0.438491703363804	0.438491703363803	9.992E-16	2.279E-15
3.5	0.532572435028002	0.532572435028001	9.992E-16	1.876E-15
3.6	0.587953259673416	0.587953259673416	0.000E+00	0.000E+00
3.7	0.541945662154486	0.541945662154488	-1.998E-15	3.687E-15
3.8	0.448094947012818	0.448094947012820	-1.998E-15	4.460E-15
3.9	0.422332710260934	0.422332710260933	9.992E-16	2.366E-15
4	0.498426033038179	0.498426033038178	9.992E-16	2.005E-15
4.1	0.573695631451206	0.573695631451205	9.992E-16	1.742E-15
4.2	0.541719203163414	0.541719203163415	-9.992E-16	1.844E-15
4.3	0.449441171024908	0.449441171024909	-9.992E-16	2.223E-15
4.4	0.438332940837679	0.438332940837679	0.000E+00	0.000E+00
4.5	0.526025915053539	0.526025915053539	0.000E+00	0.000E+00
4.6	0.567236682285748	0.567236682285748	0.000E+00	0.000E+00
4.7	0.491426490601026	0.491426490601026	0.000E+00	0.000E+00
4.8	0.433796581622996	0.433796581622996	0.000E+00	0.000E+00
4.9	0.500160967512302	0.500160967512303	-9.992E-16	1.998E-15
5	0.563631188704012	0.563631188704012	0.000E+00	0.000E+00
5.1	0.499782109976896	0.499782109976894	1.998E-15	3.999E-15
5.2	0.438887474227742	0.438887474227742	0.000E+00	0.000E+00
5.3	0.507786574155266	0.507786574155269	-2.998E-15	5.903E-15
5.4	0.557233781017892	0.557233781017891	9.992E-16	1.793E-15
5.5	0.478421414925318	0.478421414925314	3.997E-15	8.354E-15
5.6	0.451713624601014	0.451713624601016	-1.998E-15	4.424E-15
5.7	0.538458956606686	0.538458956606689	-2.998E-15	5.567E-15
5.8	0.529836715975233	0.529836715975229	3.997E-15	7.543E-15
5.9	0.448591953169832	0.448591953169830	1.998E-15	4.455E-15
6	0.499531467855496	0.499531467855501	-4.996E-15	1.000E-14
6.1	0.549502201263967	0.549502201263965	1.998E-15	3.637E-15
6.2	0.467608409763530	0.467608409763525	4.996E-15	1.068E-14
6.3	0.476004455353062	0.476004455353068	-5.995E-15	1.259E-14
6.4	0.549604555703824	0.549604555703824	0.000E+00	0.000E+00
6.5	0.481603459890970	0.481603459890964	5.995E-15	1.245E-14
6.6	0.468991407711788	0.468991407711794	-5.995E-15	1.278E-14
6.7	0.546736574851368	0.546736574851370	-1.998E-15	3.655E-15
6.8	0.483069828033677	0.483069828033669	7.994E-15	1.655E-14
6.9	0.473225314351507	0.473225314351514	-6.994E-15	1.478E-14
7	0.545467092546970	0.545467092546970	0.000E+00	0.000E+00
7.1	0.473311196696598	0.473311196696591	6.994E-15	1.478E-14
7.2	0.488743953651609	0.488743953651619	-9.992E-15	2.044E-14
7.3	0.539268015658467	0.539268015658462	4.996E-15	9.264E-15
7.4	0.460101852079484	0.460101852079481	2.998E-15	6.515E-15
7.5	0.516018250152326	0.516018250152336	-9.992E-15	1.936E-14
7.6	0.515631219651519	0.515631219651509	9.992E-15	1.938E-14
7.7	0.462782096822627	0.462782096822632	-4.996E-15	1.080E-14
7.8	0.539470552655200	0.539470552655203	-2.998E-15	5.557E-15
7.9	0.475973793848422	0.475973793848412	9.992E-15	2.099E-14
8	0.499802180377185	0.499802180377197	-1.199E-14	2.399E-14
8.1	0.522750612557866	0.522750612557856	9.992E-15	1.911E-14
8.2	0.463842476689322	0.463842476689327	-4.996E-15	1.077E-14
8.3	0.537746648418659	0.537746648418662	-2.998E-15	5.574E-15
8.4	0.470912858992923	0.470912858992914	8.993E-15	1.910E-14
8.5	0.514177598583720	0.514177598583733	-1.299E-14	2.526E-14
8.6	0.502482860022417	0.502482860022402	1.510E-14	3.005E-14
8.7	0.482744653672077	0.482744653672091	-1.404E-14	2.909E-14
8.8	0.527964016151222	0.527964016151212	9.992E-15	1.893E-14
8.9	0.466118204596095	0.466118204596100	-4.996E-15	1.072E-14
9	0.535366127468120	0.535366127468120	0.000E+00	0.000E+00
9.1	0.466608220079839	0.466608220079835	3.997E-15	8.566E-15
9.2	0.529141873314547	0.529141873314556	-8.993E-15	1.700E-14
9.3	0.476272491672395	0.476272491672383	1.199E-14	2.518E-14
9.4	0.518040887032081	0.518040887032096	-1.510E-14	2.915E-14
9.5	0.487287331026584	0.487287331026567	1.699E-14	3.486E-14
9.6	0.508134681552766	0.508134681552784	-1.799E-14	3.540E-14
9.7	0.495486310531409	0.495486310531391	1.799E-14	3.630E-14
9.8	0.501931984740000	0.501931984740019	-1.898E-14	3.782E-14
9.9	0.499599379488737	0.499599379488718	1.898E-14	3.800E-14
10	0.499898694205496	0.499898694205516	-2.004E-14	4.009E-14

