x	berv(x)	beiv(x)
-20	113,602.519	-44,584.375
-19.9	102,901.8722	-49,027.2642
-19.8	92,640.573	-52,461.751
-19.7	82,854.8613	-54,985.7743
-19.6	73,572.0573	-56,692.9417
-19.5	64,811.459	-57,672.2406
-19.4	56,585.194	-58,007.8285
-19.3	48,899.031	-57,778.89363
-19.2	41,753.14	-57,059.57836
-19.1	35,142.81	-55,918.9577
-19	29,059.113	-54,421.0663
-18.9	23,489.525	-52,624.9673
-18.8	18,418.503	-50,584.8573
-18.7	13,828.004	-48,350.2016
-18.6	9,697.974	-45,965.8942
-18.5	6,006.78	-43,472.4397
-18.4	2,731.6107	-40,906.1496
-18.3	-151.1701	-38,299.3531
-18.2	-2,665.7047	-35,680.6152
-18.1	-4,836.3605	-33,074.9614
-18	-6,687.4816	-30,504.1057
-17.9	-8,243.1736	-27,986.6781
-17.8	-9,527.1173	-25,538.4525
-17.7	-10,562.4107	-23,172.5689
-17.6	-11,371.4357	-20,899.753
-17.5	-11,975.7492	-18,728.5275
-17.4	-12,395.9945	-16,665.4177
-17.3	-12,651.8333	-14,715.1475
-17.2	-12,761.8942	-12,880.8274
-17.1	-12,743.738	-11,164.1324
-17	-12,613.83631	-9,565.4705
-16.9	-12,387.56283	-8,084.1403
-16.8	-12,079.196	-6,718.4792
-16.7	-11,701.93046	-5,466.001
-16.6	-11,267.89745	-4,323.5229
-16.5	-10,788.19158	-3,287.2831
-16.4	-10,272.90377	-2,353.0483
-16.3	-9,731.15888	-1,516.2116
-16.2	-9,171.15726	-771.8816
-16.1	-8,600.21917	-114.962
-16	-8,024.83148	459.7762
-15.9	-7,450.69587	957.6314
-15.8	-6,882.7779	1,383.9149
-15.7	-6,325.3562	1,743.9022
-15.6	-5,782.0722	2,042.7898
-15.5	-5,255.9781	2,285.65953
-15.4	-4,749.5851	2,477.44718
-15.3	-4,264.9098	2,622.91732
-15.2	-3,803.518743	2,726.642488
-15.1	-3,366.572221	2,792.986819
-15	-2,954.86529	2,826.093604
-14.9	-2,568.86723	2,829.876441
-14.8	-2,208.75879	2,808.013537
-14.7	-1,874.46722	2,763.944851
-14.6	-1,565.69922	2,700.871722
-14.5	-1,281.9715	2,621.758672
-14.4	-1,022.63931	2,529.3371
-14.3	-786.92261	2,426.11056
-14.2	-573.93029	2,314.36145
-14.1	-382.68213	2,196.15876
-14	-212.12886	2,073.36674
-13.9	-61.1703	1,947.654386
-13.8	71.32848	1,820.5053
-13.7	186.52258	1,693.22807
-13.6	285.574509	1,566.96685
-13.5	369.642873	1,442.71204
-13.4	439.872616	1,321.31099
-13.3	497.38657	1,203.47861
-13.2	543.2783	1,089.80784
-13.1	578.606109	980.77981
-13	604.388127	876.77378
-12.9	621.598366	778.076638
-12.8	631.1636828	684.892098
-12.7	633.9615358	597.349398
-12.6	630.818469	515.511595
-12.5	622.509237	439.383382
-12.4	609.7565061	368.918428
-12.3	593.2310473	304.026243
-12.2	573.55237	244.578564
-12.1	551.289726	190.415264
-12	526.963436	141.349793
-11.9	501.046474	97.174167
-11.8	473.966277	57.66351
-11.7	446.106721	22.580173
-11.6	417.81024	-8.322557
-11.5	389.380035	-35.297138
-11.4	361.082354	-58.598822
-11.3	333.148811	-78.483054
-11.2	305.778713	-95.2031987
-11.1	279.141381	-109.008573
-11	253.37844	-120.1427612
-10.9	228.606065	-128.8421986
-10.8	204.917168	-135.3349911
-10.7	182.383508	-139.8399618
-10.6	161.057728	-142.5658982
-10.5	140.975302	-143.7109831
-10.4	122.156377	-143.4623906
-10.3	104.607532	-141.99603
-10.2	88.323424	-139.4764213
-10.1	73.288334	-136.0566859
-10	59.4776104	-131.8786392
-9.9	46.8590047	-127.0729703
-9.8	35.39391	-121.7594972
-9.7	25.0384983	-116.0474844
-9.6	15.7447543	-110.0360138
-9.5	7.4614251	-103.8143973
