x	kerv(x)	keiv(x)
-20	340,205.2062	157,800.386
-19.9	327,313.269	124,617.157
-19.8	313,122.969	94,554.226
-19.7	297,928.271	67,482.918
-19.6	281,994.518	43,264.095
-19.5	265,559.71	21,750.758
-19.4	248,835.87	2,790.374
-19.3	232,010.458	-13,773.037
-19.2	215,247.843	-28,097.054
-19.1	198,690.773	-40,339.232
-19	182,461.87	-50,655.685
-18.9	166,665.101	-59,199.866
-18.8	151,387.238	-66,121.526
-18.7	136,699.277	-71,565.843
-18.6	122,657.82	-75,672.696
-18.5	109,306.417	-78,576.0917
-18.4	96,676.84	-80,403.7064
-18.3	84,790.308	-81,276.55176
-18.2	73,658.65	-81,308.739
-18.1	63,285.399	-80,607.3367
-18	53,666.824	-79,272.3106
-17.9	44,792.893	-77,396.5341
-17.8	36,648.171	-75,065.86229
-17.7	29,212.649	-72,359.2588
-17.6	22,462.512	-69,348.9686
-17.5	16,370.835	-66,100.729
-17.4	10,908.228	-62,674.0124
-17.3	6,043.413	-59,122.2938
-17.2	1,743.746	-55,493.3383
-17.1	-2,024.314	-51,829.5026
-17	-5,294.7917	-48,168.0469
-16.9	-8,101.8249	-44,541.453
-16.8	-10,479.3467	-40,977.74196
-16.7	-12,460.8062	-37,500.7967
-16.6	-14,078.93075	-34,130.6736
-16.5	-15,365.5247	-30,883.9136
-16.4	-16,351.30242	-27,773.8427
-16.3	-17,065.7525	-24,810.8636
-16.2	-17,537.03014	-22,002.7358
-16.1	-17,791.87522	-19,354.8444
-16	-17,855.55387	-16,870.4542
-15.9	-17,751.82041	-14,550.9522
-15.8	-17,502.89781	-12,396.0745
-15.7	-17,129.47442	-10,404.1196
-15.6	-16,650.7148	-8,572.1469
-15.5	-16,084.2827	-6,896.1618
-15.4	-15,446.3749	-5,371.2852
-15.3	-14,751.7635	-3,991.9103
-15.2	-14,013.84549	-2,751.84581
-15.1	-13,244.69889	-1,644.4453
-15	-12,455.14268	-662.72509
-14.9	-11,654.80096	200.53061
-14.8	-10,852.16935	952.67561
-14.7	-10,054.683	1,601.11851
-14.6	-9,268.7854	2,153.24961
-14.5	-8,499.9975	2,616.3773
-14.4	-7,752.98558	2,997.67332
-14.3	-7,031.629	3,304.12621
-14.2	-6,339.0856	3,542.50236
-14.1	-5,677.8555	3,719.31401
-14	-5,049.8427	3,840.79358
-13.9	-4,456.41391	3,912.87378
-13.8	-3,898.4547	3,941.17296
-13.7	-3,376.42308	3,930.98511
-13.6	-2,890.39969	3,887.27399
-13.5	-2,440.13512	3,814.67101
-13.4	-2,025.09413	3,717.476339
-13.3	-1,644.49679	3,599.66276
-13.2	-1,297.35648	3,464.88203
-13.1	-982.51498	3,316.47322
-13	-698.67455	3,157.47283
-12.9	-444.42722	2,990.62625
-12.8	-218.28126	2,818.40042
-12.7	-18.6851	2,642.9973
-12.6	155.95133	2,466.36797
-12.5	307.23761	2,290.22724
-12.4	436.78603	2,116.06841
-12.3	546.19702	1,945.17819
-12.2	637.04645	1,778.6515
-12.1	710.874765	1,617.40612
-12	769.177877	1,462.19705
-11.9	813.399549	1,313.63049
-11.8	844.925248	1,172.17731
-11.7	865.077276	1,038.18611
-11.6	875.111093	911.89557
-11.5	876.2126889	793.446336
-11.4	869.496914	682.89218
-11.3	856.0066471	580.210536
-11.2	836.712703	485.312359
-11.1	812.514398	398.05135
-11	784.240668	318.232496
-10.9	752.651671	245.619947
-10.8	718.440794	179.944274
-10.7	682.236992	120.909093
-10.6	644.607405	68.197083
-10.5	606.060182	21.475433
-10.4	567.047475	-19.599274
-10.3	527.968537	-55.376695
-10.2	489.172906	-86.208862
-10.1	450.963613	-112.446793
-10	413.600398	-134.43753
-9.9	377.3029	-152.521597
-9.8	342.253798	-167.030832
-9.7	308.60187	-178.2865762
-9.6	276.464972	-186.5981754
-9.5	245.932912	-192.261787
-9.4	217.070199	-195.559448
-9.3	189.918672	-196.7583864
-9.2	164.499994	-196.1105509
-9.1	140.818009	-193.8523332
-9	118.860952	-190.2044625
-8.9	98.603525	-185.3720506
-8.8	80.008818	-179.544769
-8.7	63.0301	-172.8971375
-8.6	47.612463	-165.588911
-8.5	33.6943277	-157.7655441
-8.4	21.2088255	-149.5587261
-8.3	10.0850445	-141.0869646
-8.2	0.2491568	-132.4562135
-8.1	-8.3745715	-123.7605301
-8	-15.8628817	-115.0827541
-7.9	-22.2927283	-106.495198
-7.8	-27.7405834	-98.0603426
-7.7	-32.2818327	-89.8315307
-7.6	-35.9902579	-81.8536525
-7.5	-38.937598	-74.1638187
-7.4	-41.1931838	-66.7920158
-7.3	-42.82363929	-59.7617417
-7.2	-43.8926448	-53.0906166
-7.1	-44.46075532	-46.790969
-7	-44.5852687	-40.8703929
-6.9	-44.32013919	-35.3322767
-6.8	-43.7159308	-30.1763014
-6.7	-42.81980573	-25.3989086
-6.6	-41.6755442	-20.9937376
-6.5	-40.32359093	-16.9520312
-6.4	-38.8011244	-13.263012
-6.3	-37.1421461	-9.9142284
-6.2	-35.3775863	-6.8918712
-6.1	-33.535422	-4.1810631
-6	-31.6408069	-1.7661194
-5.9	-29.7162086	0.3692154
-5.8	-27.781552	2.24155699
-5.7	-25.8543666	3.8676936
-5.6	-23.949936	5.2644207
-5.5	-22.08144781	6.4483961
-5.4	-20.2601431	7.436015
-5.3	-18.49546335	8.24330223
-5.2	-16.7951951	8.88582217
-5.1	-15.16560983	9.37860326
-5	-13.61160008	9.73607704
-4.9	-12.13680978	9.97202978
-4.8	-10.74375916	10.09956588
-4.7	-9.4339636	10.13108176
-4.6	-8.20804599	10.07824908
-4.5	-7.06584303	9.95200639
-4.4	-6.00650438	9.76255817
-4.3	-5.02858561	9.519380279
-4.2	-4.13013438	9.23123112
-4.1	-3.3087702	8.90616756
-4	-2.56175776	8.55156501
-3.9	-1.88607404	8.17414087
-3.8	-1.27846945	7.779980827
-3.7	-0.73552316	7.37456742
-3.6	-0.25369289	6.96281032
-3.5	0.17064065	6.54907796
-3.4	0.54113424	6.13723007
-3.3	0.86144746	5.73065081
-3.2	1.135212479	5.33228218
-3.1	1.366008	4.94465752
-3	1.557337193	4.569934833
-2.9	1.71260931	4.209929922
-2.8	1.835124746	3.866149155
-2.7	1.928063358	3.53982193
-2.6	1.994475814	3.231932856
-2.5	2.037277869	2.943253887
-2.4	2.059247428	2.67437657
-2.3	2.06302437	2.425744968
-2.2	2.051113192	2.19768977
-2.1	2.025888629	1.990464623
-2	1.989604614	1.804285948
-1.9	1.94440718	1.63937825
-1.8	1.892352308	1.496027839
-1.7	1.835430331	1.374649345
-1.6	1.775599488	1.275871787
-1.5	1.714832772	1.20065482
-1.4	1.655184936	1.150452301
-1.3	1.598891146	1.127451697
-1.2	1.548517206	1.13493839
-1.1	1.507197116	1.177872541
-1	1.479024984	1.263842278
-0.9	1.469733412	1.404715333
-0.8	1.487935151	1.619662712
-0.7	1.547552142	1.941071066
-0.6	1.672973621	2.42708524
-0.5	1.911220537	3.191149761
-0.4	2.364962318	4.482080097
-0.3	3.302099803	6.949463234
-0.2	5.656791587	12.85562393
-0.1	15.36246852	36.5460604
0	-\u221e	\u221e
0.1	-36.53592466	15.33806772
0.2	-12.82674875	5.58786189
0.3	-6.895783156	3.175733504
0.4	-4.398072299	2.170987096
0.5	-3.071304098	1.641185237
0.6	-2.265633949	1.31972333
0.7	-1.731817953	1.105017859
0.8	-1.355862863	0.9510259933
0.9	-1.078985509	0.8342868307
1	-0.8680925903	0.7417941744
