x	Hv(x)
-10	7.6448156
-9.8	7.140484274
-9.6	6.6634402
-9.4	6.21137988
-9.2	5.78219887
-9	5.37401519
-8.8	4.98518584
-8.6	4.6143157
-8.4	4.26025874
-8.2	3.92211178
-8	3.599201215
-7.8	3.291063365
-7.6	2.99741937
-7.4	2.71814569
-7.2	2.4532414
-7	2.20279358
-6.8	1.96694203
-6.6	1.74584474
-6.4	1.539645136
-6.2	1.348442406
-6	1.172265663
-5.8	1.011052858
-5.6	0.864634912
-5.4	0.732725434
-5.2	0.614916106
-5	0.510677631
-4.8	0.4193658948
-4.6	0.340232819
-4.4	0.2724412173
-4.2	0.2150828312
-4	0.167198636
-3.8	0.1278004573
-3.6	0.0958929344
-3.4	0.0704948866
-3.2	0.0506592337
-3	0.0354907067
-2.8	0.0241607344
-2.6	0.01591904434
-2.4	0.01010168903
-2.2	0.00613539111
-2	0.0035382761
-1.8	0.001917232894
-1.6	9.62293245E-4
-1.4	4.38551504E-4
-1.2	1.762462221E-4
-1	5.96933158E-5
-0.8	1.579323282E-5
-0.6	2.83109867E-6
-0.4	2.49823911E-7
-0.2	3.91552663E-9
0	0
0.2	3.91552663E-9
0.4	2.49823911E-7
0.6	2.83109867E-6
0.8	1.579323282E-5
1	5.96933158E-5
1.2	1.762462221E-4
1.4	4.38551504E-4
1.6	9.62293245E-4
1.8	0.001917232894
2	0.0035382761
2.2	0.00613539111
2.4	0.01010168903
2.6	0.01591904434
2.8	0.0241607344
3	0.0354907067
3.2	0.0506592337
3.4	0.0704948866
3.6	0.0958929344
3.8	0.1278004573
4	0.167198636
4.2	0.2150828312
4.4	0.2724412173
4.6	0.340232819
4.8	0.4193658948
5	0.510677631
5.2	0.614916106
5.4	0.732725434
5.6	0.864634912
5.8	1.011052858
6	1.172265663
6.2	1.348442406
6.4	1.539645136
6.6	1.74584474
6.8	1.96694203
7	2.20279358
7.2	2.4532414
7.4	2.71814569
7.6	2.99741937
7.8	3.291063365
8	3.599201215
8.2	3.92211178
8.4	4.26025874
8.6	4.6143157
8.8	4.98518584
9	5.37401519
9.2	5.78219887
9.4	6.21137988
9.6	6.6634402
9.8	7.140484274
10	7.6448156
