x	Lv(x)
-5	1.824776941
-4.9	1.57558936
-4.8	1.357731233
-4.7	1.167553644
-4.6	1.001806649
-4.5	0.857597536
-4.4	0.732353352
-4.3	0.62378724
-4.2	0.52986823
-4.1	0.448794119
-4	0.378967138
-3.9	0.318972118
-3.8	0.267556913
-3.7	0.223614839
-3.6	0.1861689362
-3.5	0.1543578564
-3.4	0.127423227
-3.3	0.104698327
-3.2	0.0855979481
-3.1	0.0696093177
-3	0.0562839765
-2.9	0.0452305114
-2.8	0.0361080569
-2.7	0.028620485
-2.6	0.0225112137
-2.5	0.01755856877
-2.4	0.01357164326
-2.3	0.01038660147
-2.2	0.00786338238
-2.1	0.00588276054
-2	0.00434372718
-1.9	0.00316115829
-1.8	0.00226373965
-1.7	0.001592122059
-1.6	0.00109728266
-1.5	7.39071075E-4
-1.4	4.84920982E-4
-1.3	3.08710152E-4
-1.2	1.897536258E-4
-1.1	1.119165094E-4
-1	6.28343284E-5
-0.9	3.32303054E-5
-0.8	1.63201724E-5
-0.7	7.29628428E-6
-0.6	2.88385047E-6
-0.5	9.63074645E-7
-0.4	2.5188218E-7
-0.3	4.47492151E-8
-0.2	3.92356672E-9
-0.1	6.12585887E-11
0	0
0.1	6.12585887E-11
0.2	3.92356672E-9
0.3	4.47492151E-8
0.4	2.5188218E-7
0.5	9.63074645E-7
0.6	2.88385047E-6
0.7	7.29628428E-6
0.8	1.63201724E-5
0.9	3.32303054E-5
1	6.28343284E-5
1.1	1.119165094E-4
1.2	1.897536258E-4
1.3	3.08710152E-4
1.4	4.84920982E-4
1.5	7.39071075E-4
1.6	0.00109728266
1.7	0.001592122059
1.8	0.00226373965
1.9	0.00316115829
2	0.00434372718
2.1	0.00588276054
2.2	0.00786338238
2.3	0.01038660147
2.4	0.01357164326
2.5	0.01755856877
2.6	0.0225112137
2.7	0.028620485
2.8	0.0361080569
2.9	0.0452305114
3	0.0562839765
3.1	0.0696093177
3.2	0.0855979481
3.3	0.104698327
3.4	0.127423227
3.5	0.1543578564
3.6	0.1861689362
3.7	0.223614839
3.8	0.267556913
3.9	0.318972118
4	0.378967138
4.1	0.448794119
4.2	0.52986823
4.3	0.62378724
4.4	0.732353352
4.5	0.857597536
4.6	1.001806649
4.7	1.167553644
4.8	1.357731233
4.9	1.57558936
5	1.824776941
