                      s                     f1                     f2                  delta                   frac
      -10.0000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -9.80000000000000       5.99958339946442       5.99958339946442   3.55271367880050e-15   5.92160062166592e-16
      -9.60000000000000       9.01643325194152       9.01643325194150   2.13162820728030e-14   2.36415902798515e-15
      -9.40000000000000       9.84396278660461       9.84396278660460   5.32907051820075e-15   5.41354191774516e-16
      -9.20000000000000       9.21655174611094       9.21655174611094       0.00000000000000       0.00000000000000
      -9.00000000000000       7.75000000000000       7.75000000000000  -8.88178419700125e-16  -1.14603667058081e-16
      -8.80000000000000       5.91936353071874       5.91936353071873   6.21724893790088e-15   1.05032389135019e-15
      -8.60000000000000       4.06125305209805       4.06125305209805   1.77635683940025e-15   4.37391321499305e-16
      -8.40000000000000       2.39035607599301       2.39035607599301       0.00000000000000       0.00000000000000
      -8.20000000000000       1.02262991575778       1.02262991575778   6.66133814775094e-16   6.51392849466451e-16
      -8.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -7.80000000000000     -0.686652231798228     -0.686652231798229   1.33226762955019e-15  -1.94023636399054e-15
      -7.60000000000000      -1.07794276130219      -1.07794276130219   2.22044604925031e-16  -2.05989235139716e-16
      -7.40000000000000      -1.23055514848625      -1.23055514848625  -8.88178419700125e-16   7.21770512108057e-16
      -7.20000000000000      -1.20590915420997      -1.20590915420997  -4.66293670342566e-15   3.86673961893962e-15
      -7.00000000000000      -1.06250000000000      -1.06250000000000   2.22044604925031e-16  -2.08983157576500e-16
      -6.80000000000000     -0.851279888983987     -0.851279888983986  -8.88178419700125e-16   1.04334476967402e-15
      -6.60000000000000     -0.613396470143902     -0.613396470143901  -7.77156117237610e-16   1.26697194239688e-15
      -6.40000000000000     -0.379636670296981     -0.379636670296981  -4.44089209850063e-16   1.16977427260297e-15
      -6.20000000000000     -0.171008560746392     -0.171008560746392  -8.32667268468867e-17   4.86915546703961e-16
      -6.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -5.80000000000000      0.127838363437119      0.127838363437119       0.00000000000000       0.00000000000000
      -5.60000000000000      0.212238084601233      0.212238084601233   8.32667268468867e-17   3.92326980350081e-16
      -5.40000000000000      0.256653003094366      0.256653003094366   1.66533453693773e-16   6.48866179962612e-16
      -5.20000000000000      0.266893202347014      0.266893202347014  -1.11022302462516e-16  -4.15980255346349e-16
      -5.00000000000000      0.250000000000000      0.250000000000000   5.55111512312578e-17   2.22044604925031e-16
      -4.80000000000000      0.213372411284223      0.213372411284223   5.55111512312578e-17   2.60160865676838e-16
      -4.60000000000000      0.164131320592785      0.164131320592785   1.11022302462516e-16   6.76423622630596e-16
      -4.40000000000000      0.108693288155328      0.108693288155328  -6.93889390390723e-17  -6.38392123531233e-16
      -4.20000000000000     0.0525190332077858     0.0525190332077858   2.08166817117217e-17   3.96364526158788e-16
      -4.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -3.80000000000000    -0.0455517660311797    -0.0455517660311797  -3.46944695195361e-17   7.61649273834699e-16
      -3.60000000000000    -0.0818413342602991    -0.0818413342602993   2.22044604925031e-16  -2.71311076404022e-15
      -3.40000000000000     -0.107482227670692     -0.107482227670692  -1.38777878078145e-17   1.29117046683604e-16
      -3.20000000000000     -0.121862280566743     -0.121862280566743   6.93889390390723e-17  -5.69404566502171e-16
      -3.00000000000000     -0.125000000000000     -0.125000000000000  -1.38777878078145e-17   1.11022302462516e-16
      -2.80000000000000     -0.117403017216763     -0.117403017216763   3.74700270810990e-16  -3.19157275250579e-15
      -2.60000000000000    -0.0999364739064697    -0.0999364739064698   1.38777878078145e-16  -1.38866094283081e-15
      -2.40000000000000    -0.0737061453516758    -0.0737061453516760   1.52655665885959e-16  -2.07113891463987e-15
      -2.20000000000000    -0.0399587333272024    -0.0399587333272024   6.24500451351651e-17  -1.56286348277840e-15
      -2.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -1.80000000000000     0.0448698260826540     0.0448698260826540  -2.77555756156289e-17  -6.18579968741149e-16
      -1.60000000000000     0.0934047522995761     0.0934047522995764  -2.49800180540660e-16  -2.67438405852711e-15
      -1.40000000000000      0.144447685783733      0.144447685783733  -1.66533453693773e-16  -1.15289803910813e-15
      -1.20000000000000      0.196953128074908      0.196953128074909  -4.16333634234434e-16  -2.11387165212266e-15
      -1.00000000000000      0.250000000000000      0.250000000000000  -2.22044604925031e-16  -8.88178419700124e-16
     -0.800000000000001      0.302796599051299      0.302796599051298   9.99200722162641e-16   3.29990734801272e-15
     -0.600000000000000      0.354679514114235      0.354679514114236  -6.66133814775094e-16  -1.87812881282042e-15
     -0.400000000000000      0.405108100842836      0.405108100842837  -8.88178419700125e-16  -2.19244793637118e-15
     -0.199999999999999      0.453655882044114      0.453655882044117  -2.27595720048157e-15  -5.01692426035874e-15
       0.00000000000000      0.500000000000000      0.500000000000000   5.55111512312578e-17   1.11022302462516e-16
      0.199999999999999      0.543909624270303      0.543909624270303   1.11022302462516e-16   2.04119025493363e-16
      0.400000000000000      0.585234016779489      0.585234016779489       0.00000000000000       0.00000000000000
      0.600000000000000      0.623890779768824      0.623890779768824       0.00000000000000       0.00000000000000
      0.800000000000001      0.659854662679817      0.659854662679817   1.11022302462516e-16   1.68252660383772e-16
       1.20000000000000      0.723827197293743      0.723827197293743   2.22044604925031e-16   3.06764661172190e-16
       1.40000000000000      0.751982549321635      0.751982549321634   8.88178419700125e-16   1.18111573267405e-15
       1.60000000000000      0.777722726661129      0.777722726661130  -6.66133814775094e-16  -8.56518386231167e-16
       1.80000000000000      0.801172585082118      0.801172585082117   1.11022302462516e-16   1.38574764700837e-16
       2.00000000000000      0.822467033424113      0.822467033424114  -5.55111512312578e-16  -6.74934665771983e-16
       2.20000000000000      0.841746620722236      0.841746620722236  -1.11022302462516e-16  -1.31895156724545e-16
       2.40000000000000      0.859153936763546      0.859153936763546   1.11022302462516e-16   1.29222829241450e-16
       2.60000000000000      0.874830734970281      0.874830734970280   3.33066907387547e-16   3.80721543120981e-16
       2.80000000000000      0.888915686455893      0.888915686455893  -4.44089209850063e-16  -4.99585299951952e-16
       3.00000000000000      0.901542677369696      0.901542677369696  -1.11022302462516e-16  -1.23147029252603e-16
