

#             t           fai          fai'           gai          gai'           hai          hai'
#     =========     =========     =========     =========     =========     =========     =========
 -2.000000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.999000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.998000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.997000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.996000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.995000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.994000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.993000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.992000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.991000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.990000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.989000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.988000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.987000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.986000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.985000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.984000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.983000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.982000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.981000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.980000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.979000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.978000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.977000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.976000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.975000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.974000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.973000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.972000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.971000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.970000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.969000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.968000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.967000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.966000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.965000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.964000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.963000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.962000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.961000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.960000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.959000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.958000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.957000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.956000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.955000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.954000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.953000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.952000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.951000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.950000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.949000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.948000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.947000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.946000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.945000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.944000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.943000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.942000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.941000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.940000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.939000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.938000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.937000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.936000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.935000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.934000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.933000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.932000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.931000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.930000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.929000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.928000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.927000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.926000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.925000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.924000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.923000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.922000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.921000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.920000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.919000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.918000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.917000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.916000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.915000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.914000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.913000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.912000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.911000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.910000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.909000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.908000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.907000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.906000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.905000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.904000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.903000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.902000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.901000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.900000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.899000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.898000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.897000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.896000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.895000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.894000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.893000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.892000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.891000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.890000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.889000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.888000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.887000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.886000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.885000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.884000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.883000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.882000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.881000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.880000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.879000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.878000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.877000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.876000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.875000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.874000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.873000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.872000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.871000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.870000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.869000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.868000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.867000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.866000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.865000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.864000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.863000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.862000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.861000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.860000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.859000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.858000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.857000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.856000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.855000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.854000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.853000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.852000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.851000e+01          -nan          -nan          -nan          -nan          -nan          -nan
