

#             x           ber           bei           ker           kei     Wronskian
#     =========     =========     =========     =========     =========
  0.000000e+00  0.000000e+00  0.000000e+00          -nan          -nan
  1.000000e-02  2.488966e-01  6.222415e-06  2.990094e-01 -6.309991e-02
  2.000000e-02  3.495128e-01  3.495128e-05  3.465433e-01 -8.983310e-02
  3.000000e-02  4.250478e-01  9.563576e-05  3.702171e-01 -1.107363e-01
  4.000000e-02  4.873447e-01  1.949379e-04  3.833216e-01 -1.286751e-01
  5.000000e-02  5.410287e-01  3.381429e-04  3.903959e-01 -1.447503e-01
  6.000000e-02  5.884911e-01  5.296421e-04  3.935586e-01 -1.595222e-01
  7.000000e-02  6.311642e-01  7.731764e-04  3.939724e-01 -1.733210e-01
  8.000000e-02  6.699882e-01  1.071982e-03  3.923443e-01 -1.863604e-01
  9.000000e-02  7.056225e-01  1.428887e-03  3.891363e-01 -1.987879e-01
  9.999999e-02  7.385502e-01  1.846378e-03  3.846653e-01 -2.107100e-01
  1.100000e-01  7.691395e-01  2.326652e-03  3.791586e-01 -2.222067e-01
  1.200000e-01  7.976788e-01  2.871652e-03  3.727842e-01 -2.333399e-01
  1.300000e-01  8.243993e-01  3.483101e-03  3.656694e-01 -2.441583e-01
  1.400000e-01  8.494902e-01  4.162524e-03  3.579127e-01 -2.547013e-01
  1.500000e-01  8.731084e-01  4.911269e-03  3.495919e-01 -2.650014e-01
  1.600000e-01  8.953868e-01  5.730527e-03  3.407694e-01 -2.750854e-01
  1.700000e-01  9.164377e-01  6.621340e-03  3.314958e-01 -2.849758e-01
  1.800000e-01  9.363592e-01  7.584618e-03  3.218129e-01 -2.946924e-01
  1.900000e-01  9.552352e-01  8.621153e-03  3.117546e-01 -3.042512e-01
  2.000000e-01  9.731404e-01  9.731619e-03  3.013505e-01 -3.136673e-01
  2.100000e-01  9.901407e-01  1.091660e-02  2.906244e-01 -3.229529e-01
  2.200000e-01  1.006294e+00  1.217656e-02  2.795976e-01 -3.321194e-01
  2.300000e-01  1.021653e+00  1.351189e-02  2.682875e-01 -3.411767e-01
  2.400000e-01  1.036265e+00  1.492290e-02  2.567090e-01 -3.501337e-01
  2.500000e-01  1.050171e+00  1.640982e-02  2.448759e-01 -3.589983e-01
  2.600000e-01  1.063412e+00  1.797280e-02  2.327996e-01 -3.677777e-01
  2.700000e-01  1.076021e+00  1.961193e-02  2.204895e-01 -3.764786e-01
  2.800000e-01  1.088031e+00  2.132723e-02  2.079550e-01 -3.851068e-01
  2.900000e-01  1.099472e+00  2.311866e-02  1.952036e-01 -3.936680e-01
  3.000000e-01  1.110370e+00  2.498613e-02  1.822419e-01 -4.021671e-01
  3.100000e-01  1.120752e+00  2.692951e-02  1.690765e-01 -4.106091e-01
  3.200000e-01  1.130639e+00  2.894858e-02  1.557119e-01 -4.189979e-01
  3.300000e-01  1.140055e+00  3.104312e-02  1.421533e-01 -4.273380e-01
  3.400000e-01  1.149019e+00  3.321282e-02  1.284047e-01 -4.356330e-01
  3.500000e-01  1.157550e+00  3.545736e-02  1.144702e-01 -4.438868e-01
  3.600000e-01  1.165665e+00  3.777637e-02  1.003529e-01 -4.521023e-01
  3.700000e-01  1.173382e+00  4.016944e-02  8.605532e-02 -4.602830e-01
  3.800000e-01  1.180715e+00  4.263615e-02  7.158124e-02 -4.684320e-01
  3.900000e-01  1.187679e+00  4.517601e-02  5.693216e-02 -4.765522e-01
  4.000000e-01  1.194288e+00  4.778853e-02  4.211069e-02 -4.846464e-01
  4.100000e-01  1.200555e+00  5.047314e-02  2.711865e-02 -4.927172e-01
  4.200000e-01  1.206492e+00  5.322929e-02  1.195744e-02 -5.007672e-01
  4.300000e-01  1.212111e+00  5.605644e-02 -3.370434e-03 -5.087989e-01
  4.400000e-01  1.217422e+00  5.895392e-02 -1.886498e-02 -5.168146e-01
  4.500000e-01  1.222436e+00  6.192109e-02 -3.452402e-02 -5.248168e-01
  4.600000e-01  1.227163e+00  6.495731e-02 -5.034650e-02 -5.328078e-01
  4.700000e-01  1.231613e+00  6.806193e-02 -6.633145e-02 -5.407897e-01
  4.800000e-01  1.235793e+00  7.123420e-02 -8.247776e-02 -5.487647e-01
  4.900000e-01  1.239713e+00  7.447342e-02 -9.878512e-02 -5.567349e-01
  5.000000e-01  1.243381e+00  7.777885e-02 -1.152528e-01 -5.647022e-01
  5.100000e-01  1.246805e+00  8.114974e-02 -1.318796e-01 -5.726690e-01
  5.200000e-01  1.249991e+00  8.458532e-02 -1.486653e-01 -5.806370e-01
  5.300000e-01  1.252948e+00  8.808481e-02 -1.656092e-01 -5.886083e-01
  5.400000e-01  1.255682e+00  9.164742e-02 -1.827111e-01 -5.965849e-01
  5.500000e-01  1.258198e+00  9.527235e-02 -1.999705e-01 -6.045687e-01
  5.600000e-01  1.260504e+00  9.895871e-02 -2.173872e-01 -6.125614e-01
  5.700000e-01  1.262606e+00  1.027057e-01 -2.349604e-01 -6.205653e-01
  5.800000e-01  1.264508e+00  1.065126e-01 -2.526904e-01 -6.285821e-01
  5.900000e-01  1.266217e+00  1.103784e-01 -2.705762e-01 -6.366137e-01
  6.000000e-01  1.267739e+00  1.143022e-01 -2.886186e-01 -6.446619e-01
  6.100000e-01  1.269077e+00  1.182834e-01 -3.068166e-01 -6.527289e-01
  6.200000e-01  1.270236e+00  1.223208e-01 -3.251704e-01 -6.608160e-01
  6.300000e-01  1.271223e+00  1.264137e-01 -3.436798e-01 -6.689258e-01
  6.400000e-01  1.272040e+00  1.305612e-01 -3.623450e-01 -6.770595e-01
  6.500000e-01  1.272693e+00  1.347623e-01 -3.811654e-01 -6.852192e-01
  6.600000e-01  1.273185e+00  1.390162e-01 -4.001409e-01 -6.934071e-01
  6.700000e-01  1.273520e+00  1.433220e-01 -4.192721e-01 -7.016247e-01
  6.800000e-01  1.273703e+00  1.476787e-01 -4.385584e-01 -7.098740e-01
  6.900000e-01  1.273738e+00  1.520855e-01 -4.579997e-01 -7.181569e-01
  7.000000e-01  1.273626e+00  1.565414e-01 -4.775961e-01 -7.264756e-01
  7.100000e-01  1.273373e+00  1.610454e-01 -4.973478e-01 -7.348315e-01
  7.200000e-01  1.272982e+00  1.655968e-01 -5.172547e-01 -7.432270e-01
  7.300000e-01  1.272456e+00  1.701944e-01 -5.373161e-01 -7.516638e-01
  7.400000e-01  1.271797e+00  1.748375e-01 -5.575331e-01 -7.601439e-01
  7.500000e-01  1.271010e+00  1.795250e-01 -5.779051e-01 -7.686693e-01
  7.600000e-01  1.270097e+00  1.842561e-01 -5.984316e-01 -7.772421e-01
  7.700000e-01  1.269061e+00  1.890298e-01 -6.191134e-01 -7.858644e-01
  7.800000e-01  1.267904e+00  1.938452e-01 -6.399502e-01 -7.945381e-01
  7.900000e-01  1.266630e+00  1.987013e-01 -6.609417e-01 -8.032649e-01
  8.000000e-01  1.265240e+00  2.035972e-01 -6.820883e-01 -8.120474e-01
  8.100000e-01  1.263738e+00  2.085320e-01 -7.033898e-01 -8.208874e-01
  8.200000e-01  1.262126e+00  2.135048e-01 -7.248460e-01 -8.297873e-01
  8.300000e-01  1.260406e+00  2.185146e-01 -7.464567e-01 -8.387491e-01
  8.400000e-01  1.258580e+00  2.235604e-01 -7.682224e-01 -8.477747e-01
  8.500000e-01  1.256651e+00  2.286414e-01 -7.901426e-01 -8.568666e-01
  8.600000e-01  1.254621e+00  2.337566e-01 -8.122175e-01 -8.660268e-01
  8.700000e-01  1.252492e+00  2.389051e-01 -8.344468e-01 -8.752576e-01
  8.800000e-01  1.250265e+00  2.440860e-01 -8.568301e-01 -8.845614e-01
  8.900000e-01  1.247944e+00  2.492983e-01 -8.793679e-01 -8.939404e-01
  9.000000e-01  1.245529e+00  2.545411e-01 -9.020595e-01 -9.033968e-01
  9.100000e-01  1.243024e+00  2.598136e-01 -9.249046e-01 -9.129334e-01
  9.200000e-01  1.240428e+00  2.651148e-01 -9.479043e-01 -9.225515e-01
  9.300000e-01  1.237744e+00  2.704437e-01 -9.710571e-01 -9.322547e-01
  9.400000e-01  1.234975e+00  2.757996e-01 -9.943634e-01 -9.420445e-01
  9.500000e-01  1.232120e+00  2.811814e-01 -1.017823e+00 -9.519237e-01
  9.600000e-01  1.229183e+00  2.865883e-01 -1.041435e+00 -9.618951e-01
  9.700000e-01  1.226165e+00  2.920193e-01 -1.065199e+00 -9.719607e-01
  9.800000e-01  1.223067e+00  2.974736e-01 -1.089116e+00 -9.821233e-01
  9.899999e-01  1.219890e+00  3.029504e-01 -1.113185e+00 -9.923854e-01
  1.000000e+00  1.216637e+00  3.084486e-01 -1.137406e+00 -1.002750e+00
  1.010000e+00  1.213307e+00  3.139675e-01 -1.161778e+00 -1.013219e+00
  1.020000e+00  1.209905e+00  3.195062e-01 -1.186300e+00 -1.023795e+00
  1.030000e+00  1.206428e+00  3.250636e-01 -1.210973e+00 -1.034481e+00
  1.040000e+00  1.202881e+00  3.306391e-01 -1.235796e+00 -1.045280e+00
  1.050000e+00  1.199262e+00  3.362317e-01 -1.260769e+00 -1.056195e+00
  1.060000e+00  1.195575e+00  3.418406e-01 -1.285891e+00 -1.067228e+00
  1.070000e+00  1.191820e+00  3.474649e-01 -1.311162e+00 -1.078382e+00
  1.080000e+00  1.187998e+00  3.531038e-01 -1.336580e+00 -1.089661e+00
  1.090000e+00  1.184111e+00  3.587566e-01 -1.362146e+00 -1.101066e+00
  1.100000e+00  1.180158e+00  3.644222e-01 -1.387859e+00 -1.112601e+00
  1.110000e+00  1.176143e+00  3.700997e-01 -1.413718e+00 -1.124269e+00
  1.120000e+00  1.172065e+00  3.757886e-01 -1.439722e+00 -1.136072e+00
  1.130000e+00  1.167925e+00  3.814878e-01 -1.465871e+00 -1.148015e+00
  1.140000e+00  1.163725e+00  3.871966e-01 -1.492164e+00 -1.160099e+00
  1.150000e+00  1.159466e+00  3.929142e-01 -1.518601e+00 -1.172328e+00
  1.160000e+00  1.155148e+00  3.986397e-01 -1.545179e+00 -1.184706e+00
  1.170000e+00  1.150772e+00  4.043725e-01 -1.571900e+00 -1.197235e+00
  1.180000e+00  1.146340e+00  4.101114e-01 -1.598761e+00 -1.209918e+00
  1.190000e+00  1.141852e+00  4.158559e-01 -1.625761e+00 -1.222760e+00
  1.200000e+00  1.137309e+00  4.216053e-01 -1.652900e+00 -1.235762e+00
  1.210000e+00  1.132711e+00  4.273586e-01 -1.680177e+00 -1.248929e+00
  1.220000e+00  1.128061e+00  4.331154e-01 -1.707590e+00 -1.262264e+00
  1.230000e+00  1.123358e+00  4.388744e-01 -1.735139e+00 -1.275769e+00
  1.240000e+00  1.118603e+00  4.446352e-01 -1.762822e+00 -1.289450e+00
  1.250000e+00  1.113797e+00  4.503967e-01 -1.790638e+00 -1.303309e+00
  1.260000e+00  1.108941e+00  4.561586e-01 -1.818586e+00 -1.317349e+00
  1.270000e+00  1.104036e+00  4.619198e-01 -1.846664e+00 -1.331575e+00
  1.280000e+00  1.099082e+00  4.676797e-01 -1.874871e+00 -1.345989e+00
  1.290000e+00  1.094079e+00  4.734375e-01 -1.903206e+00 -1.360596e+00
  1.300000e+00  1.089029e+00  4.791926e-01 -1.931667e+00 -1.375399e+00
  1.310000e+00  1.083933e+00  4.849440e-01 -1.960253e+00 -1.390402e+00
  1.320000e+00  1.078790e+00  4.906916e-01 -1.988962e+00 -1.405609e+00
  1.330000e+00  1.073602e+00  4.964338e-01 -2.017792e+00 -1.421023e+00
  1.340000e+00  1.068369e+00  5.021706e-01 -2.046741e+00 -1.436649e+00
  1.350000e+00  1.063092e+00  5.079011e-01 -2.075810e+00 -1.452489e+00
  1.360000e+00  1.057771e+00  5.136243e-01 -2.104994e+00 -1.468549e+00
  1.370000e+00  1.052408e+00  5.193399e-01 -2.134292e+00 -1.484832e+00
  1.380000e+00  1.047002e+00  5.250471e-01 -2.163702e+00 -1.501343e+00
  1.390000e+00  1.041554e+00  5.307452e-01 -2.193223e+00 -1.518084e+00
  1.400000e+00  1.036065e+00  5.364336e-01 -2.222852e+00 -1.535060e+00
  1.410000e+00  1.030535e+00  5.421116e-01 -2.252587e+00 -1.552276e+00
  1.420000e+00  1.024964e+00  5.477783e-01 -2.282426e+00 -1.569736e+00
  1.430000e+00  1.019355e+00  5.534335e-01 -2.312366e+00 -1.587443e+00
  1.440000e+00  1.013706e+00  5.590760e-01 -2.342406e+00 -1.605403e+00
  1.450000e+00  1.008018e+00  5.647056e-01 -2.372543e+00 -1.623619e+00
  1.460000e+00  1.002292e+00  5.703217e-01 -2.402774e+00 -1.642096e+00
  1.470000e+00  9.965289e-01  5.759233e-01 -2.433096e+00 -1.660837e+00
  1.480000e+00  9.907281e-01  5.815101e-01 -2.463508e+00 -1.679849e+00
  1.490000e+00  9.848907e-01  5.870814e-01 -2.494005e+00 -1.699134e+00
  1.500000e+00  9.790174e-01  5.926365e-01 -2.524586e+00 -1.718699e+00
  1.510000e+00  9.731079e-01  5.981747e-01 -2.555248e+00 -1.738546e+00
  1.520000e+00  9.671633e-01  6.036958e-01 -2.585986e+00 -1.758680e+00
  1.530000e+00  9.611838e-01  6.091987e-01 -2.616800e+00 -1.779108e+00
  1.540000e+00  9.551698e-01  6.146832e-01 -2.647685e+00 -1.799832e+00
  1.550000e+00  9.491220e-01  6.201487e-01 -2.678637e+00 -1.820859e+00
  1.560000e+00  9.430402e-01  6.255941e-01 -2.709655e+00 -1.842191e+00
  1.570000e+00  9.369255e-01  6.310195e-01 -2.740733e+00 -1.863835e+00
  1.580000e+00  9.307780e-01  6.364238e-01 -2.771869e+00 -1.885795e+00
  1.590000e+00  9.245983e-01  6.418071e-01 -2.803059e+00 -1.908076e+00
  1.600000e+00  9.183868e-01  6.471683e-01 -2.834300e+00 -1.930683e+00
  1.610000e+00  9.121432e-01  6.525071e-01 -2.865587e+00 -1.953621e+00
  1.620000e+00  9.058688e-01  6.578227e-01 -2.896916e+00 -1.976895e+00
  1.630000e+00  8.995637e-01  6.631147e-01 -2.928285e+00 -2.000511e+00
  1.640000e+00  8.932283e-01  6.683826e-01 -2.959686e+00 -2.024472e+00
  1.650000e+00  8.868629e-01  6.736260e-01 -2.991118e+00 -2.048786e+00
  1.660000e+00  8.804674e-01  6.788441e-01 -3.022576e+00 -2.073454e+00
  1.670000e+00  8.740430e-01  6.840366e-01 -3.054054e+00 -2.098484e+00
  1.680000e+00  8.675897e-01  6.892028e-01 -3.085550e+00 -2.123883e+00
  1.690000e+00  8.611080e-01  6.943425e-01 -3.117056e+00 -2.149652e+00
  1.700000e+00  8.545980e-01  6.994550e-01 -3.148570e+00 -2.175800e+00
  1.710000e+00  8.480602e-01  7.045396e-01 -3.180086e+00 -2.202330e+00
  1.720000e+00  8.414951e-01  7.095962e-01 -3.211598e+00 -2.229249e+00
  1.730000e+00  8.349026e-01  7.146243e-01 -3.243104e+00 -2.256561e+00
  1.740000e+00  8.282837e-01  7.196233e-01 -3.274594e+00 -2.284274e+00
  1.750000e+00  8.216382e-01  7.245926e-01 -3.306065e+00 -2.312390e+00
  1.760000e+00  8.149666e-01  7.295318e-01 -3.337512e+00 -2.340916e+00
  1.770000e+00  8.082692e-01  7.344406e-01 -3.368927e+00 -2.369859e+00
  1.780000e+00  8.015465e-01  7.393181e-01 -3.400308e+00 -2.399223e+00
  1.790000e+00  7.947986e-01  7.441645e-01 -3.431644e+00 -2.429015e+00
  1.800000e+00  7.880259e-01  7.489790e-01 -3.462933e+00 -2.459238e+00
  1.810000e+00  7.812291e-01  7.537615e-01 -3.494166e+00 -2.489902e+00
  1.820000e+00  7.744080e-01  7.585109e-01 -3.525338e+00 -2.521008e+00
  1.830000e+00  7.675631e-01  7.632273e-01 -3.556441e+00 -2.552565e+00
  1.840000e+00  7.606949e-01  7.679101e-01 -3.587470e+00 -2.584579e+00
  1.850000e+00  7.538033e-01  7.725589e-01 -3.618417e+00 -2.617053e+00
  1.860000e+00  7.468890e-01  7.771735e-01 -3.649275e+00 -2.649996e+00
  1.870000e+00  7.399521e-01  7.817532e-01 -3.680037e+00 -2.683411e+00
  1.880000e+00  7.329932e-01  7.862978e-01 -3.710694e+00 -2.717306e+00
  1.890000e+00  7.260119e-01  7.908063e-01 -3.741242e+00 -2.751686e+00
  1.900000e+00  7.190096e-01  7.952793e-01 -3.771670e+00 -2.786558e+00
  1.910000e+00  7.119856e-01  7.997158e-01 -3.801971e+00 -2.821926e+00
  1.920000e+00  7.049410e-01  8.041155e-01 -3.832137e+00 -2.857800e+00
  1.930000e+00  6.978758e-01  8.084781e-01 -3.862160e+00 -2.894181e+00
  1.940000e+00  6.907898e-01  8.128033e-01 -3.892032e+00 -2.931078e+00
  1.950000e+00  6.836838e-01  8.170904e-01 -3.921742e+00 -2.968497e+00
  1.960000e+00  6.765585e-01  8.213398e-01 -3.951282e+00 -3.006444e+00
  1.970000e+00  6.694132e-01  8.255500e-01 -3.980647e+00 -3.044924e+00
  1.980000e+00  6.622490e-01  8.297217e-01 -4.009820e+00 -3.083943e+00
  1.990000e+00  6.550658e-01  8.338538e-01 -4.038800e+00 -3.123510e+00
  2.000000e+00  6.478644e-01  8.379465e-01 -4.067570e+00 -3.163628e+00
  2.010000e+00  6.406444e-01  8.419992e-01 -4.096127e+00 -3.204305e+00
  2.020000e+00  6.334067e-01  8.460118e-01 -4.124455e+00 -3.245547e+00
  2.030000e+00  6.261510e-01  8.499835e-01 -4.152546e+00 -3.287358e+00
  2.040000e+00  6.188781e-01  8.539143e-01 -4.180393e+00 -3.329747e+00
  2.050000e+00  6.115882e-01  8.578044e-01 -4.207977e+00 -3.372719e+00
  2.060000e+00  6.042814e-01  8.616524e-01 -4.235294e+00 -3.416281e+00
  2.070000e+00  5.969582e-01  8.654588e-01 -4.262332e+00 -3.460438e+00
  2.080000e+00  5.896187e-01  8.692228e-01 -4.289078e+00 -3.505197e+00
  2.090000e+00  5.822634e-01  8.729445e-01 -4.315521e+00 -3.550565e+00
  2.100000e+00  5.748926e-01  8.766234e-01 -4.341649e+00 -3.596546e+00
  2.110000e+00  5.675064e-01  8.802593e-01 -4.367450e+00 -3.643147e+00
  2.120000e+00  5.601048e-01  8.838516e-01 -4.392912e+00 -3.690375e+00
  2.130000e+00  5.526889e-01  8.874009e-01 -4.418022e+00 -3.738237e+00
  2.140000e+00  5.452585e-01  8.909060e-01 -4.442766e+00 -3.786738e+00
  2.150000e+00  5.378137e-01  8.943667e-01 -4.467134e+00 -3.835884e+00
  2.160000e+00  5.303554e-01  8.977835e-01 -4.491110e+00 -3.885681e+00
  2.170000e+00  5.228833e-01  9.011553e-01 -4.514681e+00 -3.936136e+00
  2.180000e+00  5.153978e-01  9.044824e-01 -4.537833e+00 -3.987255e+00
  2.190000e+00  5.078996e-01  9.077640e-01 -4.560554e+00 -4.039044e+00
  2.200000e+00  5.003886e-01  9.110005e-01 -4.582827e+00 -4.091508e+00
  2.210000e+00  4.928652e-01  9.141910e-01 -4.604639e+00 -4.144654e+00
  2.220000e+00  4.853300e-01  9.173361e-01 -4.625971e+00 -4.198490e+00
  2.230000e+00  4.777828e-01  9.204346e-01 -4.646813e+00 -4.253018e+00
  2.240000e+00  4.702238e-01  9.234869e-01 -4.667146e+00 -4.308244e+00
  2.250000e+00  4.626537e-01  9.264927e-01 -4.686955e+00 -4.364178e+00
  2.260000e+00  4.550729e-01  9.294512e-01 -4.706229e+00 -4.420823e+00
  2.270000e+00  4.474812e-01  9.323633e-01 -4.724942e+00 -4.478187e+00
  2.280000e+00  4.398794e-01  9.352282e-01 -4.743081e+00 -4.536274e+00
  2.290000e+00  4.322673e-01  9.380452e-01 -4.760633e+00 -4.595088e+00
  2.300000e+00  4.246456e-01  9.408150e-01 -4.777575e+00 -4.654640e+00
  2.310000e+00  4.170145e-01  9.435365e-01 -4.793891e+00 -4.714931e+00
  2.320000e+00  4.093741e-01  9.462101e-01 -4.809568e+00 -4.775967e+00
  2.330000e+00  4.017248e-01  9.488356e-01 -4.824580e+00 -4.837756e+00
  2.340000e+00  3.940669e-01  9.514125e-01 -4.838911e+00 -4.900300e+00
  2.350000e+00  3.864009e-01  9.539409e-01 -4.852544e+00 -4.963608e+00
  2.360000e+00  3.787267e-01  9.564204e-01 -4.865457e+00 -5.027683e+00
  2.370000e+00  3.710450e-01  9.588513e-01 -4.877628e+00 -5.092532e+00
  2.380000e+00  3.633556e-01  9.612325e-01 -4.889045e+00 -5.158158e+00
  2.390000e+00  3.556594e-01  9.635648e-01 -4.899679e+00 -5.224568e+00
  2.400000e+00  3.479564e-01  9.658477e-01 -4.909514e+00 -5.291766e+00
  2.410000e+00  3.402467e-01  9.680803e-01 -4.918528e+00 -5.359755e+00
  2.420000e+00  3.325309e-01  9.702637e-01 -4.926698e+00 -5.428544e+00
  2.430000e+00  3.248092e-01  9.723974e-01 -4.933999e+00 -5.498136e+00
  2.440000e+00  3.170817e-01  9.744808e-01 -4.940417e+00 -5.568535e+00
  2.450000e+00  3.093490e-01  9.765137e-01 -4.945924e+00 -5.639744e+00
  2.460000e+00  3.016113e-01  9.784964e-01 -4.950492e+00 -5.711770e+00
  2.470000e+00  2.938689e-01  9.804287e-01 -4.954107e+00 -5.784614e+00
  2.480000e+00  2.861220e-01  9.823102e-01 -4.956740e+00 -5.858284e+00
  2.490000e+00  2.783712e-01  9.841415e-01 -4.958364e+00 -5.932784e+00
  2.500000e+00  2.706164e-01  9.859213e-01 -4.958962e+00 -6.008113e+00
  2.510000e+00  2.628582e-01  9.876503e-01 -4.958503e+00 -6.084280e+00
  2.520000e+00  2.550967e-01  9.893284e-01 -4.956958e+00 -6.161286e+00
  2.530000e+00  2.473324e-01  9.909551e-01 -4.954307e+00 -6.239133e+00
  2.540000e+00  2.395654e-01  9.925303e-01 -4.950525e+00 -6.317828e+00
  2.550000e+00  2.317961e-01  9.940543e-01 -4.945575e+00 -6.397371e+00
  2.560000e+00  2.240249e-01  9.955270e-01 -4.939438e+00 -6.477767e+00
  2.570000e+00  2.162519e-01  9.969478e-01 -4.932084e+00 -6.559018e+00
  2.580000e+00  2.084776e-01  9.983169e-01 -4.923485e+00 -6.641127e+00
  2.590000e+00  2.007022e-01  9.996338e-01 -4.913614e+00 -6.724095e+00
  2.600000e+00  1.929259e-01  1.000899e+00 -4.902434e+00 -6.807926e+00
  2.610000e+00  1.851493e-01  1.002113e+00 -4.889925e+00 -6.892619e+00
  2.620000e+00  1.773724e-01  1.003274e+00 -4.876050e+00 -6.978179e+00
  2.630000e+00  1.695957e-01  1.004383e+00 -4.860775e+00 -7.064608e+00
  2.640000e+00  1.618194e-01  1.005440e+00 -4.844079e+00 -7.151903e+00
  2.650000e+00  1.540439e-01  1.006445e+00 -4.825919e+00 -7.240072e+00
  2.660000e+00  1.462694e-01  1.007397e+00 -4.806274e+00 -7.329109e+00
  2.670000e+00  1.384964e-01  1.008297e+00 -4.785103e+00 -7.419019e+00
  2.680000e+00  1.307249e-01  1.009145e+00 -4.762372e+00 -7.509801e+00
  2.690000e+00  1.229553e-01  1.009940e+00 -4.738051e+00 -7.601457e+00
  2.700000e+00  1.151881e-01  1.010682e+00 -4.712104e+00 -7.693982e+00
  2.710000e+00  1.074237e-01  1.011372e+00 -4.684495e+00 -7.787383e+00
  2.720000e+00  9.966199e-02  1.012009e+00 -4.655193e+00 -7.881649e+00
  2.730000e+00  9.190367e-02  1.012594e+00 -4.624155e+00 -7.976788e+00
  2.740000e+00  8.414882e-02  1.013126e+00 -4.591348e+00 -8.072798e+00
  2.750000e+00  7.639781e-02  1.013605e+00 -4.556733e+00 -8.169674e+00
  2.760000e+00  6.865098e-02  1.014031e+00 -4.520275e+00 -8.267414e+00
  2.770000e+00  6.090859e-02  1.014404e+00 -4.481931e+00 -8.366018e+00
  2.780000e+00  5.317099e-02  1.014724e+00 -4.441667e+00 -8.465486e+00
  2.790000e+00  4.543844e-02  1.014992e+00 -4.399438e+00 -8.565810e+00
  2.800000e+00  3.771132e-02  1.015207e+00 -4.355205e+00 -8.666986e+00
  2.810000e+00  2.998991e-02  1.015369e+00 -4.308932e+00 -8.769019e+00
  2.820000e+00  2.227447e-02  1.015478e+00 -4.260568e+00 -8.871896e+00
  2.830000e+00  1.456546e-02  1.015534e+00 -4.210079e+00 -8.975616e+00
  2.840000e+00  6.863061e-03  1.015537e+00 -4.157415e+00 -9.080177e+00
  2.850000e+00 -8.323697e-04  1.015488e+00 -4.102540e+00 -9.185571e+00
