

                         x                       ber                       bei                       ker                       kei                 Wronskian
  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00                      -nan                      -nan
  1.000000000000000000e-02  2.488966253996160850e-01  6.222415635854626518e-06  2.990093842515409563e-01 -6.309990216610661891e-02
  2.000000000000000000e-02  3.495127953156764779e-01  3.495127960923715805e-05  3.465433119202042232e-01 -8.983309046647839841e-02
  3.000000000000000000e-02  4.250478060555126991e-01  9.563575743839262958e-05  3.702170909643876836e-01 -1.107363320882420175e-01
  4.000000000000000000e-02  4.873446575631129224e-01  1.949378699563694566e-04  3.833215287655331151e-01 -1.286751239450423678e-01
  5.000000000000000000e-02  5.410286520363302787e-01  3.381429368753921493e-04  3.903959732244788513e-01 -1.447503228216126130e-01
  6.000000000000000000e-02  5.884911241541275371e-01  5.296421070742956227e-04  3.935586163506932458e-01 -1.595221554036721545e-01
  7.000000000000000000e-02  6.311641326684314727e-01  7.731763203516621171e-04  3.939723717783944849e-01 -1.733209471188321269e-01
  8.000000000000000000e-02  6.699883388536911117e-01  1.071981952004559021e-03  3.923443860025547334e-01 -1.863603791811037696e-01
  9.000000000000000000e-02  7.056224862107663855e-01  1.428886836650040097e-03  3.891362085944470640e-01 -1.987878509608396505e-01
  9.999999999999999999e-02  7.385501629118662672e-01  1.846377971693840246e-03  3.846652196547324027e-01 -2.107099746241032480e-01
  1.100000000000000000e-01  7.691394727167225780e-01  2.326651636150436590e-03  3.791585938025214386e-01 -2.222067290129693517e-01
  1.200000000000000000e-01  7.976787841921338403e-01  2.871651893451308415e-03  3.727841980841901687e-01 -2.333398826973331442e-01
  1.300000000000000000e-01  8.243993443444896904e-01  3.483101046645052612e-03  3.656693288657262999e-01 -2.441582865436592621e-01
  1.400000000000000000e-01  8.494902231652426814e-01  4.162524302900171688e-03  3.579126122166056270e-01 -2.547013480606529262e-01
  1.500000000000000000e-01  8.731085525482298440e-01  4.911270140474124120e-03  3.495918559689631311e-01 -2.650013958935454273e-01
  1.600000000000000000e-01  8.953867566541757542e-01  5.730527403163922383e-03  3.407693990737307290e-01 -2.750853384093202577e-01
  1.700000000000000000e-01  9.164377909187205292e-01  6.621339847930925193e-03  3.314958566254987390e-01 -2.849758574639423896e-01
  1.800000000000000000e-01  9.363590233616250434e-01  7.584618673116540503e-03  3.218128040649772959e-01 -2.946922869027696674e-01
  1.900000000000000000e-01  9.552351662017296757e-01  8.621153419302610912e-03  3.117547408714434837e-01 -3.042512716809544784e-01
  2.000000000000000000e-01  9.731405281326153164e-01  9.731621540021122851e-03  3.013505532760568646e-01 -3.136672708721155317e-01
  2.100000000000000000e-01  9.901407709638750107e-01  1.091659687153076127e-02  2.906246213611202633e-01 -3.229529473736911918e-01
  2.200000000000000000e-01  1.006294298258891070e+00  1.217655718116140943e-02  2.795976690494703391e-01 -3.321194739244896845e-01
  2.300000000000000000e-01  1.021653366413693061e+00  1.351189093672136890e-02  2.682874251209267635e-01 -3.411767763321806881e-01
  2.400000000000000000e-01  1.036264983416370912e+00  1.492290341147637655e-02  2.567091432644657496e-01 -3.501337289206667165e-01
  2.500000000000000000e-01  1.050171643104020916e+00  1.640982221774171030e-02  2.448760155598896050e-01 -3.589983131520276851e-01
  2.600000000000000000e-01  1.063411930476064457e+00  1.797280234544710634e-02  2.327995044032992466e-01 -3.677777475347664525e-01
  2.700000000000000000e-01  1.076021024858386999e+00  1.961193076891900988e-02  2.204896113206739416e-01 -3.764785949046965672e-01
  2.800000000000000000e-01  1.088031121353757104e+00  2.132723067470250143e-02  2.079550964414370522e-01 -3.851068517005753504e-01
  2.900000000000000000e-01  1.099471786337848949e+00  2.311866535488149031e-02  1.952036590344666421e-01 -3.936680227837156981e-01
  3.000000000000000000e-01  1.110370259278832194e+00  2.498614180358305506e-02  1.822420870479737084e-01 -4.021671845549376662e-01
  3.100000000000000000e-01  1.120751710536944203e+00  2.692951404882158426e-02  1.690763817757992706e-01 -4.106090385250678574e-01
  3.200000000000000000e-01  1.130639462805446048e+00  2.894858624728770303e-02  1.557118624136590137e-01 -4.189979570423957872e-01
  3.300000000000000000e-01  1.140055182321215383e+00  3.104311556591540299e-02  1.421532542430881515e-01 -4.273380225337803604e-01
  3.400000000000000000e-01  1.149019044784237921e+00  3.321281487091399133e-02  1.284047633992549064e-01 -4.356330613481843549e-01
  3.500000000000000000e-01  1.157549879995297481e+00  3.545735524230951276e-02  1.144701405780203109e-01 -4.438866730826239877e-01
  3.600000000000000000e-01  1.165665298487994602e+00  3.777636832980919344e-02  1.003527355719843217e-01 -4.521022561065080175e-01
  3.700000000000000000e-01  1.173381802848877436e+00  4.016944856390796292e-02  8.605554416157165802e-02 -4.602830298705395322e-01
  3.800000000000000000e-01  1.180714885953669261e+00  4.263615523453913641e-02  7.158124860108451491e-02 -4.684320544829059532e-01
  3.900000000000000000e-01  1.187679117972536450e+00  4.517601444818451779e-02  5.693225271299995441e-02 -4.765522479524933700e-01
  4.000000000000000000e-01  1.194288223693492911e+00  4.778852097316429775e-02  4.211071242309377274e-02 -4.846464014318693935e-01
  4.100000000000000000e-01  1.200555151465418861e+00  5.047313998179313989e-02  2.711856242403373723e-02 -4.927171927383823650e-01
  4.200000000000000000e-01  1.206492134859254064e+00  5.322930869719042980e-02  1.195753953815628803e-02 -5.007671983873099803e-01
  4.300000000000000000e-01  1.212110747978762055e+00  5.605643795174899322e-02 -3.370796744706924372e-03 -5.087989043345344260e-01
  4.400000000000000000e-01  1.217421955213863564e+00  5.895391366358048582e-02 -1.886504615582204922e-02 -5.168147155961481327e-01
  4.500000000000000000e-01  1.222436156114409815e+00  6.192109823665286056e-02 -3.452395162740293704e-02 -5.248169648874687865e-01
  4.600000000000000000e-01  1.227163225966063907e+00  6.495733188980393917e-02 -5.034638508072175379e-02 -5.328079204031898174e-01
  4.700000000000000000e-01  1.231612552569223882e+00  6.806193391934519635e-02 -6.633133478262103403e-02 -5.407897928430401783e-01
  4.800000000000000000e-01  1.235793069653889304e+00  7.123420389955303366e-02 -8.247789406639016732e-02 -5.487647417727582050e-01
  4.900000000000000000e-01  1.239713287305820796e+00  7.447342282497400011e-02 -9.878525124283823459e-02 -5.567348813979043073e-01
