

#                      x                    ber                    bei                    ker                    kei              Wronskian
#              =========              =========              =========              =========              =========
  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00                    nan                    nan
  1.000000000000000e-02  2.488966253996162e-01  6.222415635854628e-06                    nan                    nan
  2.000000000000000e-02  3.495127953156765e-01  3.495127960923716e-05                    nan                    nan
  3.000000000000000e-02  4.250478060555127e-01  9.563575743839263e-05                    nan                    nan
  4.000000000000000e-02  4.873446575631130e-01  1.949378699563695e-04                    nan                    nan
  5.000000000000000e-02  5.410286520363303e-01  3.381429368753922e-04                    nan                    nan
  6.000000000000000e-02  5.884911241541277e-01  5.296421070742956e-04                    nan                    nan
  7.000000000000001e-02  6.311641326684316e-01  7.731763203516625e-04                    nan                    nan
  8.000000000000000e-02  6.699883388536912e-01  1.071981952004559e-03                    nan                    nan
  9.000000000000000e-02  7.056224862107664e-01  1.428886836650040e-03                    nan                    nan
  1.000000000000000e-01  7.385501629118664e-01  1.846377971693841e-03                    nan                    nan
  1.100000000000000e-01  7.691394727167227e-01  2.326651636150437e-03                    nan                    nan
  1.200000000000000e-01  7.976787841921339e-01  2.871651893451309e-03                    nan                    nan
  1.300000000000000e-01  8.243993443444898e-01  3.483101046645053e-03                    nan                    nan
  1.400000000000000e-01  8.494902231652429e-01  4.162524302900174e-03                    nan                    nan
  1.500000000000000e-01  8.731085525482301e-01  4.911270140474126e-03                    nan                    nan
  1.600000000000000e-01  8.953867566541758e-01  5.730527403163923e-03                    nan                    nan
  1.700000000000000e-01  9.164377909187207e-01  6.621339847930926e-03                    nan                    nan
  1.800000000000000e-01  9.363590233616254e-01  7.584618673116542e-03                    nan                    nan
  1.900000000000000e-01  9.552351662017297e-01  8.621153419302613e-03                    nan                    nan
  2.000000000000000e-01  9.731405281326153e-01  9.731621540021124e-03                    nan                    nan
  2.100000000000000e-01  9.901407709638751e-01  1.091659687153076e-02                    nan                    nan
  2.200000000000000e-01  1.006294298258891e+00  1.217655718116141e-02                    nan                    nan
  2.300000000000000e-01  1.021653366413693e+00  1.351189093672137e-02                    nan                    nan
  2.400000000000000e-01  1.036264983416371e+00  1.492290341147638e-02                    nan                    nan
  2.500000000000000e-01  1.050171643104021e+00  1.640982221774171e-02                    nan                    nan
  2.600000000000000e-01  1.063411930476065e+00  1.797280234544711e-02                    nan                    nan
  2.700000000000000e-01  1.076021024858387e+00  1.961193076891901e-02                    nan                    nan
  2.800000000000000e-01  1.088031121353757e+00  2.132723067470251e-02                    nan                    nan
  2.900000000000000e-01  1.099471786337849e+00  2.311866535488149e-02                    nan                    nan
  3.000000000000000e-01  1.110370259278832e+00  2.498614180358306e-02                    nan                    nan
  3.100000000000000e-01  1.120751710536944e+00  2.692951404882159e-02                    nan                    nan
  3.200000000000000e-01  1.130639462805446e+00  2.894858624728771e-02                    nan                    nan
  3.300000000000000e-01  1.140055182321215e+00  3.104311556591541e-02                    nan                    nan
  3.400000000000000e-01  1.149019044784238e+00  3.321281487091400e-02                    nan                    nan
  3.500000000000000e-01  1.157549879995298e+00  3.545735524230952e-02                    nan                    nan
  3.600000000000000e-01  1.165665298487995e+00  3.777636832980919e-02                    nan                    nan
  3.700000000000000e-01  1.173381802848878e+00  4.016944856390797e-02                    nan                    nan
  3.800000000000000e-01  1.180714885953670e+00  4.263615523453915e-02                    nan                    nan
  3.900000000000000e-01  1.187679117972537e+00  4.517601444818452e-02                    nan                    nan
  4.000000000000000e-01  1.194288223693493e+00  4.778852097316430e-02                    nan                    nan
  4.100000000000000e-01  1.200555151465419e+00  5.047313998179315e-02                    nan                    nan
  4.200000000000000e-01  1.206492134859254e+00  5.322930869719042e-02                    nan                    nan
  4.300000000000000e-01  1.212110747978762e+00  5.605643795174899e-02                    nan                    nan
  4.400000000000000e-01  1.217421955213864e+00  5.895391366358049e-02                    nan                    nan
  4.500000000000000e-01  1.222436156114410e+00  6.192109823665288e-02                    nan                    nan
  4.600000000000000e-01  1.227163225966064e+00  6.495733188980395e-02                    nan                    nan
  4.700000000000000e-01  1.231612552569224e+00  6.806193391934520e-02                    nan                    nan
  4.800000000000000e-01  1.235793069653889e+00  7.123420389955304e-02                    nan                    nan
  4.900000000000000e-01  1.239713287305821e+00  7.447342282497400e-02                    nan                    nan
  5.000000000000000e-01  1.243381319730473e+00  7.777885419813965e-02                    nan                    nan
  5.100000000000000e-01  1.246804910639532e+00  8.114974506599053e-02                    nan                    nan
  5.200000000000000e-01  1.249991456509293e+00  8.458532700804450e-02                    nan                    nan
  5.300000000000000e-01  1.252948027929532e+00  8.808481707910384e-02                    nan                    nan
  5.400000000000000e-01  1.255681389235269e+00  9.164741870908376e-02                    nan                    nan
  5.500000000000000e-01  1.258198016591108e+00  9.527232256234765e-02                    nan                    nan
  5.600000000000001e-01  1.260504114678175e+00  9.895870735876124e-02                    nan                    nan
  5.700000000000000e-01  1.262605632116652e+00  1.027057406585167e-01                    nan                    nan
  5.800000000000000e-01  1.264508275742025e+00  1.065125796126346e-01                    nan                    nan
  5.900000000000000e-01  1.266217523840214e+00  1.103783716809166e-01                    nan                    nan
  6.000000000000000e-01  1.267738638435439e+00  1.143022553190078e-01                    nan                    nan
  6.100000000000000e-01  1.269076676714680e+00  1.182833606361078e-01                    nan                    nan
  6.200000000000000e-01  1.270236501663906e+00  1.223208100247807e-01                    nan                    nan
  6.300000000000000e-01  1.271222791983496e+00  1.264137187642110e-01                    nan                    nan
