

#                      t                     Gi                    Gip                     Hi                    Hip
#              =========              =========              =========              =========              =========
 -2.000000000000000e+01 -2.188845673473872e-01 -7.769362181321957e-01  1.587570557341656e-02  7.917958418821793e-04
 -1.999000000000000e+01 -2.264501612201541e-01 -7.355700616147718e-01  1.588358762439222e-02  7.925822517046675e-04
 -1.998000000000000e+01 -2.335946714133495e-01 -6.927555691875541e-01  1.589147744552387e-02  7.933698276337975e-04
 -1.997000000000000e+01 -2.403040436830205e-01 -6.485797674515713e-01  1.589937504818403e-02  7.941585719607940e-04
 -1.996000000000000e+01 -2.465651073739157e-01 -6.031322735908321e-01  1.590728044376712e-02  7.949484869824642e-04
 -1.995000000000000e+01 -2.523656004147676e-01 -5.565051110299394e-01  1.591519364368951e-02  7.957395750012142e-04
 -1.994000000000000e+01 -2.576941924477498e-01 -5.087925207372608e-01  1.592311465938953e-02  7.965318383250652e-04
 -1.993000000000000e+01 -2.625405060502722e-01 -4.600907685660224e-01  1.593104350232759e-02  7.973252792676700e-04
 -1.992000000000000e+01 -2.668951360116082e-01 -4.104979490295265e-01  1.593898018398615e-02  7.981199001483285e-04
 -1.991000000000000e+01 -2.707496666306317e-01 -3.601137859140222e-01  1.594692471586987e-02  7.989157032920051e-04
 -1.990000000000000e+01 -2.740966870050521e-01 -3.090394301374845e-01  1.595487710950556e-02  7.997126910293443e-04
 -1.989000000000000e+01 -2.769298042867211e-01 -2.573772552655011e-01  1.596283737644231e-02  8.005108656966877e-04
 -1.988000000000000e+01 -2.792436548815605e-01 -2.052306511007000e-01  1.597080552825152e-02  8.013102296360904e-04
 -1.987000000000000e+01 -2.810339135769868e-01 -1.527038157627334e-01  1.597878157652692e-02  8.021107851953373e-04
 -1.986000000000000e+01 -2.822973005837995e-01 -9.990154667846117e-02  1.598676553288467e-02  8.029125347279610e-04
 -1.985000000000000e+01 -2.830315864837457e-01 -4.692903090195738e-02  1.599475740896340e-02  8.037154805932565e-04
 -1.984000000000000e+01 -2.832355950781363e-01  6.108364815749042e-03  1.600275721642424e-02  8.045196251562991e-04
 -1.983000000000000e+01 -2.829092041371086e-01  5.910530378708227e-02  1.601076496695091e-02  8.053249707879617e-04
 -1.982000000000000e+01 -2.820533440533238e-01  1.119566885638529e-01  1.601878067224972e-02  8.061315198649305e-04
 -1.981000000000000e+01 -2.806699944080126e-01  1.645578691116546e-01  1.602680434404970e-02  8.069392747697229e-04
 -1.980000000000000e+01 -2.787621784614444e-01  2.168048495732693e-01  1.603483599410258e-02  8.077482378907036e-04
